Director,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating,Average_Box_Office,Average_IMDB_Rating,Success_Metric
Josh Boone,2,148725009.0,79000000,112.0,13.0,74362504.5,6.5,7.98725009
Walter Hill,5,70396057.0,212000000,237.0,29.9,14079211.4,5.9799999999999995,6.261584227999999
Doug Lefler,1,5933494.0,67000000,37.0,5.4,5933494.0,5.4,5.51866988
Nikolaj Arcel,1,50701325.0,66000000,34.0,5.6,50701325.0,5.6,6.6140265
Michael Lembeck,3,207344354.0,133000000,128.0,16.9,69114784.66666667,5.633333333333333,7.015629026666666
Angelina Jolie,3,116480232.0,98000000,159.0,17.2,38826744.0,5.733333333333333,6.509868213333333
Jules White,1,nan,65000000,nan,7.8,nan,7.8,nan
Clint Eastwood,24,1682444271.0,903800000,1607.0,171.0,70101844.625,7.125,8.5270368925
John Huston,4,nan,126500000,nan,28.099999999999998,nan,7.0249999999999995,nan
David Lowery,5,171632513.0,95100000,385.0,33.199999999999996,34326502.6,6.639999999999999,7.326530051999999
Charles Chaplin,3,nan,73500000,nan,24.9,nan,8.299999999999999,nan
Larry Charles,5,261755439.0,135000000,289.0,32.6,52351087.8,6.5200000000000005,7.567021756000001
Stanley Kubrick,8,nan,204500000,630.0,63.5,nan,7.9375,nan
Glenn Ficarra,4,163363340.0,163000000,246.0,27.200000000000003,40840835.0,6.800000000000001,7.616816700000001
John Requa,4,163363340.0,163000000,246.0,27.200000000000003,40840835.0,6.800000000000001,7.616816700000001
David S. Goyer,2,95082316.0,81000000,68.0,10.5,47541158.0,5.25,6.20082316
Dan Bradley,1,44806783.0,65000000,31.0,5.3,44806783.0,5.3,6.1961356599999995
Baltasar Kormákur,5,248914272.0,222000000,280.0,32.4,49782854.4,6.4799999999999995,7.475657087999999
Thurop Van Orman,1,41667116.0,65000000,60.0,6.4,41667116.0,6.4,7.23334232
John Rice,1,41667116.0,65000000,60.0,6.4,41667116.0,6.4,7.23334232
Taylor Hackford,8,322580856.0,278000000,419.0,54.0,40322607.0,6.75,7.55645214
Rob Bowman,3,70321967.0,126200000,101.0,17.1,23440655.666666668,5.7,6.168813113333334
Stuart Beattie,1,19075290.0,65000000,30.0,5.1,19075290.0,5.1,5.4815058
William Eubank,3,18492870.0,69050000,156.0,17.9,6164290.0,5.966666666666666,6.089952466666666
Michael Lehmann,3,97842942.0,121000000,96.0,16.9,32614314.0,5.633333333333333,6.285619613333333
Frank Miller,3,107667812.0,165000000,150.0,19.2,35889270.666666664,6.3999999999999995,7.1177854133333325
Ben Affleck,4,258883282.0,165500000,281.0,29.200000000000003,64720820.5,7.300000000000001,8.594416410000001
Roman Polanski,8,nan,257200000,552.0,58.5,nan,7.3125,nan
Xiao Feng,1,nan,65000000,nan,3.2,nan,3.2,nan
Sam Hargrave,1,nan,65000000,56.0,6.8,nan,6.8,nan
