,Writer_Avg_Rating,Director_Avg_Rating,Actor_Avg_Rating,runtimeMinutes,OMDB_Metascore,genres,OMDB_Rated,ReleaseMonth,averageRating,actual,predictions
5324,5.98,6.37,5.97,100.0,59.0,2,0,10.0,6.8,6.8,6.567666666666649
5325,6.04,5.82,6.29,94.0,73.0,10,3,8.0,6.2,6.2,6.22600000000002
5326,4.34,5.43,5.14,90.0,33.0,6,0,11.0,4.3,4.3,4.38566666666665
5327,6.24,6.11,6.53,93.0,80.0,2,2,10.0,6.7,6.7,6.634000000000001
5328,6.97,6.42,6.84,104.0,73.0,4,3,11.0,7.2,7.2,7.2220000000000075
5329,5.9,5.96,6.52,121.0,80.0,12,0,6.0,6.8,6.8,6.781999999999978
5330,5.34,5.33,6.22,90.0,50.0,4,3,7.0,3.9,3.9,4.48433333333334
5331,8.13,7.8,8.14,100.0,68.0,3,2,10.0,8.3,8.3,8.034333333333327
5332,6.17,5.4,6.33,115.0,63.0,2,2,5.0,6.4,6.4,6.492666666666661
5333,5.95,6.2,5.87,106.0,62.0,10,0,10.0,6.2,6.2,6.387000000000004
5334,6.37,7.12,6.31,98.0,56.0,4,3,5.0,6.5,6.5,6.509999999999998
5335,6.87,7.35,6.4,95.0,56.0,2,1,11.0,6.9,6.9,6.862666666666692
5336,6.47,6.13,6.65,105.0,59.0,10,3,8.0,6.8,6.8,6.741333333333313
5337,6.59,6.69,6.35,101.0,59.0,4,3,7.0,6.3,6.3,6.5756666666666685
5338,6.79,6.68,6.31,130.0,77.0,4,3,12.0,7.1,7.1,7.080666666666644
5339,6.73,6.35,6.9,98.0,75.0,10,3,8.0,7.5,7.5,7.049333333333332
5340,6.54,6.59,6.19,250.0,81.0,4,0,3.0,7.5,7.5,7.484666666666667
5341,6.35,6.35,6.31,100.0,82.0,12,3,6.0,6.9,6.9,6.8266666666666875
5342,6.49,6.78,6.94,92.0,87.0,3,3,3.0,7.3,7.3,7.255333333333322
5343,6.43,5.65,6.29,100.0,56.0,2,0,6.0,6.5,6.5,6.487000000000004
5344,6.6,6.66,6.28,98.0,70.0,4,3,12.0,6.7,6.7,6.624666666666686
5345,6.5,8.45,7.3,96.0,72.0,3,3,4.0,7.3,7.3,7.329666666666657
5346,7.4,6.85,6.42,101.0,67.0,12,3,6.0,7.4,7.4,7.282333333333357
5347,5.55,5.46,6.56,94.0,29.0,0,1,4.0,5.5,5.5,5.523666666666668
5348,7.2,7.2,5.38,89.0,65.0,4,3,8.0,7.2,7.2,7.023000000000018
5349,6.09,6.2,6.3,96.0,55.0,12,2,9.0,5.9,5.9,6.01000000000002
5350,5.88,5.7,5.77,102.0,32.0,2,2,1.0,5.9,5.9,5.793333333333359
5351,6.12,6.4,5.89,93.0,39.0,6,0,8.0,6.2,6.2,5.843999999999997
5352,6.8,6.9,6.12,106.0,43.0,2,0,7.0,6.6,6.6,6.513999999999976
5353,6.89,6.89,6.46,97.0,54.0,2,2,8.0,6.5,6.5,6.545333333333331
5354,6.32,6.13,5.6,93.0,57.0,2,0,11.0,6.2,6.2,6.089000000000021
5355,6.33,6.33,6.14,91.0,75.0,2,3,12.0,6.6,6.6,6.524999999999977
5356,5.94,5.47,5.75,122.0,33.0,4,3,8.0,4.5,4.5,4.909
5357,6.66,6.65,6.07,84.0,75.0,2,0,9.0,6.7,6.7,6.795000000000005
5358,6.9,6.55,6.49,132.0,32.0,4,2,3.0,6.3,6.3,6.716333333333319
5359,7.04,7.02,6.27,90.0,53.0,3,1,11.0,7.1,7.1,6.835000000000002
5360,6.61,6.67,6.31,117.0,76.0,12,0,10.0,7.8,7.8,7.457666666666657
5361,5.91,5.45,5.91,92.0,33.0,6,0,3.0,4.7,4.7,5.017333333333354
5362,6.16,6.66,6.79,89.0,61.0,12,0,7.0,6.4,6.4,6.528000000000021
5363,6.93,7.3,6.96,85.0,81.0,2,1,8.0,7.3,7.3,7.247999999999998
5364,6.65,5.5,5.76,92.0,62.0,12,3,11.0,5.5,5.5,6.336333333333339
5365,6.54,6.88,6.6,140.0,53.0,12,0,3.0,6.6,6.6,6.699333333333309
5366,6.22,6.05,6.26,121.0,45.0,4,2,1.0,6.6,6.6,6.516666666666646
5367,6.0,6.0,6.13,91.0,71.0,12,3,5.0,6.0,6.0,6.054333333333334
5368,6.25,6.88,6.63,114.0,68.0,2,0,5.0,7.3,7.3,7.163666666666654
5369,5.79,6.38,6.52,113.0,71.0,4,0,12.0,6.6,6.6,6.7729999999999935
5370,6.7,6.7,6.51,106.0,57.0,10,0,7.0,7.3,7.3,7.107999999999988
5371,6.12,6.35,5.5,80.0,62.0,6,3,5.0,5.1,5.1,5.729666666666668
5372,5.6,5.6,5.9,98.0,75.0,2,0,1.0,5.6,5.6,5.835666666666646
5373,6.21,6.06,6.14,105.0,57.0,4,2,12.0,7.0,7.0,6.716666666666666
5374,6.27,6.5,6.29,102.0,59.0,2,1,6.0,6.8,6.8,6.658999999999976
5375,6.8,6.58,6.64,112.0,76.0,4,0,10.0,7.1,7.1,7.121666666666642
5376,7.7,7.7,6.48,77.0,73.0,3,3,6.0,7.7,7.7,7.630000000000012
5377,7.7,5.47,7.01,95.0,70.0,3,3,8.0,7.5,7.5,7.571333333333329
5378,5.25,6.17,6.24,97.0,56.0,4,2,6.0,5.5,5.5,5.693333333333332
5379,7.55,7.3,7.3,86.0,67.0,3,3,9.0,7.3,7.3,7.5083333333333275
5380,7.25,7.7,7.6,84.0,74.0,4,3,9.0,7.6,7.6,7.603999999999969
5381,6.65,6.65,5.73,120.0,45.0,2,3,7.0,5.8,5.8,6.386666666666674
5382,6.2,6.46,6.27,98.0,24.0,4,3,2.0,5.5,5.5,5.780333333333335
5383,6.4,6.6,6.31,99.0,85.0,4,3,8.0,7.2,7.2,7.042000000000013
5384,6.87,7.45,6.9,102.0,74.0,3,3,6.0,6.9,6.9,7.101000000000008
5385,6.6,6.77,6.55,134.0,72.0,2,2,3.0,7.3,7.3,7.310333333333338
5386,6.37,6.02,6.41,119.0,42.0,0,2,3.0,6.2,6.2,6.19400000000002
5387,6.32,5.85,6.53,107.0,52.0,2,2,11.0,6.4,6.4,6.473000000000021
5388,6.31,6.68,6.26,121.0,58.0,4,2,2.0,6.6,6.6,6.61033333333331
5389,6.5,6.55,6.16,84.0,76.0,2,0,6.0,6.7,6.7,6.68700000000002
5390,4.42,5.52,5.24,81.0,31.0,6,3,1.0,4.3,4.3,4.377333333333317
5391,5.46,5.65,5.98,97.0,54.0,4,2,7.0,6.0,6.0,5.756666666666663
5392,6.79,6.65,6.51,119.0,47.0,2,0,10.0,7.0,7.0,6.825999999999999
5393,6.55,7.29,6.16,101.0,68.0,12,0,10.0,7.4,7.4,7.23266666666669
5394,5.72,5.7,6.12,91.0,34.0,12,0,4.0,5.6,5.6,5.576666666666654
5395,6.88,6.6,6.27,94.0,52.0,2,0,7.0,6.5,6.5,6.501999999999996
5396,6.94,6.94,7.19,125.0,88.0,12,3,11.0,7.2,7.2,7.414666666666661
5397,6.84,6.84,6.52,91.0,43.0,4,3,2.0,7.5,7.5,6.790333333333331
