Writer,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
Aditya Chopra,3,14018026.0,40200000.0,nan,19.900000000000002
Kevin Spacey,1,6318709.0,24000000.0,46.0,6.7
Richard Williams,1,669276.0,24000000.0,nan,7.1
Margaret French,1,669276.0,24000000.0,nan,7.1
Mary McGuckian,1,49981.0,24000000.0,25.0,5.0
Justin Bodle,1,nan,24000000.0,nan,4.8
Matthew Cope,1,nan,24000000.0,nan,4.8
Richard Doyle,1,nan,24000000.0,nan,4.8
Siva,1,nan,24000000.0,nan,4.0
Chandran Pachamuthu,1,nan,24000000.0,nan,4.0
Savari Muthu,1,nan,24000000.0,nan,4.0
Jerry Zucker,3,nan,27100000.0,204.0,21.0
Nick Vallelonga,1,85080171.0,23000000.0,69.0,8.2
Brian Hayes Currie,1,85080171.0,23000000.0,69.0,8.2
LouAnne Johnson,1,84919401.0,23000000.0,47.0,6.5
Michael Barrie,1,65807024.0,23000000.0,41.0,6.8
Jim Mulholland,1,65807024.0,23000000.0,41.0,6.8
Angie Thomas,1,29719483.0,23000000.0,81.0,7.5
Laura Zigman,1,27343067.0,23000000.0,32.0,6.0
Tami Sagher,1,22438180.0,23000000.0,51.0,6.1
Harper Dill,1,22438180.0,23000000.0,51.0,6.1
Clay Tarver,1,21974919.0,23000000.0,75.0,6.6
Mona Simpson,1,18670401.0,23000000.0,59.0,6.2
Matthew Faulk,1,16136476.0,23000000.0,53.0,6.2
Mark Skeet,1,16136476.0,23000000.0,53.0,6.2
Simon Kelton,1,15789389.0,23000000.0,54.0,7.3
Sean Macaulay,1,15789389.0,23000000.0,54.0,7.3
Chris Charles,1,15566093.0,23000000.0,44.0,5.7
Danny Kravitz,1,15566093.0,23000000.0,44.0,5.7
Robert Lorenz,1,15566093.0,23000000.0,44.0,5.7
Keith R. Clarke,1,2701859.0,23000000.0,66.0,7.3
Slavomir Rawicz,1,2701859.0,23000000.0,66.0,7.3
Scott McPherson,1,12803305.0,23000000.0,68.0,6.7
Derek Guiley,1,12195626.0,23000000.0,46.0,6.1
David Schneiderman,1,12195626.0,23000000.0,46.0,6.1
Colette,1,2715657.0,23000000.0,63.0,6.1
Greg McLean,3,26952206.0,28100000.0,nan,16.9
Ronny Graham,1,38119483.0,22700000.0,46.0,7.1
Tom Ford,2,19839357.0,29500000.0,144.0,15.0
Austin Wright,1,10663357.0,22500000.0,67.0,7.5
Andrew Anastasios,1,4196641.0,22500000.0,50.0,7.0
Maïwenn,2,nan,31300000.0,125.0,14.0
Teddy Lussi-Modeste,1,nan,22400000.0,51.0,6.7
Nicolas Livecchi,1,nan,22400000.0,51.0,6.7
Nichole Millard,1,90648202.0,22000000.0,44.0,6.4
Kathryn Price,1,90648202.0,22000000.0,44.0,6.4
Robert James Waller,1,71516617.0,22000000.0,69.0,7.6
Nik Cohn,1,64892670.0,22000000.0,23.0,4.7
Norman Wexler,2,94692670.0,25000000.0,106.0,12.4
Richard Bedser,1,59700064.0,22000000.0,37.0,5.7
Christopher Spencer,1,59700064.0,22000000.0,37.0,5.7
Colin Swash,1,59700064.0,22000000.0,37.0,5.7
Tom Brady,1,57743062.0,22000000.0,43.0,4.8
Rob Schneider,3,145681971.0,62000000.0,96.0,15.2
Richard C. Morais,1,54240821.0,22000000.0,55.0,7.3
Jeff Kinney,3,122445921.0,62000000.0,144.0,17.2
Kristine Johnson,1,40311852.0,22000000.0,28.0,7.6
James Siegel,1,36024076.0,22000000.0,40.0,6.6
Kurt Eichenwald,1,33316821.0,22000000.0,66.0,6.5
Ken Scott,1,30664106.0,22000000.0,44.0,6.3
Martin Petit,1,30664106.0,22000000.0,44.0,6.3
David Garrett,2,46380458.0,33000000.0,43.0,9.4
Glenn Gers,1,20668843.0,22000000.0,41.0,5.9
John Mister,1,20668843.0,22000000.0,41.0,5.9
Neil McKay,1,20668843.0,22000000.0,41.0,5.9
Chuck Logan,1,20158898.0,22000000.0,40.0,6.5
John Hoffman,2,57196348.0,39000000.0,89.0,11.0
Hank Nelken,1,19402030.0,22000000.0,22.0,5.8
Victor Colicchio,1,19288130.0,22000000.0,67.0,6.7
Michael Imperioli,1,19288130.0,22000000.0,67.0,6.7
Richard Goldwater,1,14271015.0,22000000.0,47.0,5.6
Angela Sommer-Bodenburg,1,13572400.0,22000000.0,45.0,5.7
Jeff Baena,1,12785432.0,22000000.0,55.0,6.5
Blake Edwards,2,nan,27000000.0,nan,13.1
Stephen Jeffreys,1,4835065.0,22000000.0,44.0,6.2
S.J. Watson,1,3242457.0,22000000.0,41.0,6.3
Angus MacLachlan,2,4488769.0,23000000.0,138.0,12.3
Haley Webb,1,nan,22000000.0,nan,nan
Georges Arnaud,1,nan,21600000.0,68.0,7.7
William Friedkin,2,nan,23800000.0,162.0,15.4
Laurent Tirard,1,635733.0,21600000.0,59.0,7.1
Grégoire Vigneron,1,635733.0,21600000.0,59.0,7.1
E. Jack Kaplan,1,22313201.0,21500000.0,49.0,6.5
Richard Chapman,1,22313201.0,21500000.0,49.0,6.5
Matthew Quick,1,132092958.0,21000000.0,81.0,7.7
Brian Kehoe,1,60311495.0,21000000.0,69.0,6.2
Jim Kehoe,1,60311495.0,21000000.0,69.0,6.2
Trey Parker,3,85425979.0,42000000.0,185.0,21.0
Matt Stone,3,85425979.0,42000000.0,185.0,21.0
Wendell Wellman,1,46708276.0,21000000.0,44.0,5.9
Craig Thomas,1,46708276.0,21000000.0,44.0,5.9
Dean Craig,3,nan,56000000.0,nan,20.2
Stuart Gillard,1,42273609.0,21000000.0,40.0,4.8
Daniel Coyle,1,40222729.0,21000000.0,48.0,6.4
Ntozake Shange,1,37729698.0,21000000.0,50.0,6.2
Freedom Writers,1,36605602.0,21000000.0,64.0,7.6
Erin Gruwell,1,36605602.0,21000000.0,64.0,7.6
Stanley Shapiro,1,35417038.0,21000000.0,35.0,5.4
Dale Launer,2,88346206.0,32000000.0,103.0,13.0
Chris Hauty,2,nan,24000000.0,nan,12.2
Bridget O'Connor,1,24149393.0,21000000.0,85.0,7.0
Roi Cooper Megrue,1,21760240.0,21000000.0,31.0,5.0
Jean C. Havez,1,21760240.0,21000000.0,31.0,5.0
Clyde Bruckman,1,21760240.0,21000000.0,31.0,5.0
Rafael Moreu,1,17762705.0,21000000.0,42.0,4.8
Joshua Michael Stern,1,16289867.0,21000000.0,47.0,6.1
David Giammarco,1,16289867.0,21000000.0,47.0,6.1
Vendela Vida,1,9451946.0,21000000.0,58.0,7.0
Brad Silberling,1,6835856.0,21000000.0,59.0,6.6
Kyle Killen,1,970816.0,21000000.0,60.0,6.6
Richard Bachynsky Hoover,1,557241.0,21000000.0,34.0,5.9
George Mendeluk,1,557241.0,21000000.0,34.0,5.9
Richard Christie,1,17650.0,21000000.0,21.0,5.7
Mark Stay,1,nan,21000000.0,47.0,4.6
Jon Wright,1,nan,21000000.0,47.0,4.6
Lorene Scafaria,4,147796847.0,43900000.0,270.0,25.9
Jessica Pressler,1,104963598.0,20700000.0,79.0,6.3
David Cronenberg,2,4977151.0,26652000.0,128.0,14.0
Larry L. King,1,69701637.0,20500000.0,40.0,6.0
Peter Masterson,1,69701637.0,20500000.0,40.0,6.0
Colin Higgins,1,69701637.0,20500000.0,40.0,6.0
Kiyoshi Kurosawa,2,nan,20510000.0,97.0,12.2
Hal Barwood,2,149299127.0,38000000.0,158.0,14.2
Jerry Belson,2,138981302.0,25000000.0,nan,13.6
Bonnie Turner,1,121697323.0,20000000.0,57.0,7.0
Terry Turner,1,121697323.0,20000000.0,57.0,7.0
Jeff Tremaine,4,356266735.0,48000000.0,218.0,27.1
Johnny Knoxville,5,361326343.0,67000000.0,254.0,32.2
Bam Margera,2,190008404.0,31000000.0,122.0,14.0
Carl Gottlieb,2,347625072.0,32000000.0,138.0,13.899999999999999
Howard Sackler,1,81766007.0,20000000.0,51.0,5.8
Analisa LaBianco,1,94514402.0,20000000.0,41.0,3.9
Jeffrey Bushell,1,94514402.0,20000000.0,41.0,3.9
Steven Gary Banks,1,82674398.0,20000000.0,27.0,4.7
Claudia Grazioso,1,82674398.0,20000000.0,27.0,4.7
Nat Faxon,2,104090706.0,25000000.0,152.0,14.7
Jim Rash,2,104090706.0,25000000.0,152.0,14.7
Christopher Landon,9,399747656.0,83000000.0,445.0,52.0
Heywood Gould,2,nan,32000000.0,52.0,12.9
Keith Walker,1,77709806.0,20000000.0,79.0,6.0
Corey Blechman,1,77709806.0,20000000.0,79.0,6.0
Louis Sachar,1,67406573.0,20000000.0,71.0,7.0
Paul Brad Logan,2,64222961.0,24000000.0,103.0,10.5
Jeff Van Wie,1,62950384.0,20000000.0,33.0,6.0
Carlo Ludovico Bragaglia,1,nan,20000000.0,nan,6.9
Aldo De Benedetti,1,nan,20000000.0,nan,6.9
Solomon Northup,1,56671993.0,20000000.0,96.0,8.1
Shawn Schepps,1,56399184.0,20000000.0,63.0,5.9
Tina Gordon,4,141358715.0,68000000.0,227.0,22.799999999999997
Jojo Moyes,1,56245075.0,20000000.0,51.0,7.4
Peter Huyck,1,54611903.0,20000000.0,49.0,5.4
Alex Gregory,1,54611903.0,20000000.0,49.0,5.4
Mark Brown,5,217327328.0,64500000.0,253.0,28.000000000000004
Darcey Bell,1,53548586.0,20000000.0,67.0,6.8
Jessica Sharzer,2,92132212.0,40000000.0,125.0,13.3
Paul Webb,1,52076908.0,20000000.0,79.0,7.5
Mark Miller,1,50008143.0,20000000.0,54.0,6.7
Harvey Weitzman,1,50008143.0,20000000.0,54.0,6.7
Jules Feiffer,1,49823037.0,20000000.0,64.0,5.3
E.C. Segar,1,49823037.0,20000000.0,64.0,5.3
Karl Geurs,1,47901582.0,20000000.0,38.0,5.3
Carter Crocker,1,47901582.0,20000000.0,38.0,5.3
Eddie Guzelian,1,45554533.0,20000000.0,53.0,6.3
Jun Falkenstein,1,45554533.0,20000000.0,53.0,6.3
Lena Waithe,1,43808310.0,20000000.0,74.0,7.1
James Frey,1,43808310.0,20000000.0,74.0,7.1
Alex Mace,1,41596251.0,20000000.0,42.0,7.0
Howard Korder,1,39263506.0,20000000.0,47.0,6.2
Stephen Susco,5,268868342.0,51000000.0,215.0,28.5
Takashi Shimizu,3,259862563.0,40000000.0,131.0,16.8
Jeanne Ryan,1,38583626.0,20000000.0,58.0,6.5
Terry McMillan,1,37672941.0,20000000.0,56.0,5.7
Paul Aiello,1,36880033.0,20000000.0,51.0,6.3
Jeb Rosebrook,1,35841901.0,20000000.0,52.0,5.9
Bob Barbash,1,35841901.0,20000000.0,52.0,5.9
Richard H. Landau,1,35841901.0,20000000.0,52.0,5.9
Gregory Nava,1,35764351.0,20000000.0,67.0,6.8
Martin Booth,1,35606376.0,20000000.0,61.0,6.3
Paul Tremblay,1,35397980.0,20000000.0,63.0,6.1
Steve Desmond,1,35397980.0,20000000.0,63.0,6.1
Michel Gondry,2,45575465.0,40000000.0,141.0,14.700000000000001
Pierre Bismuth,1,34400301.0,20000000.0,89.0,8.3
Guillermo Arriaga,4,56202510.0,62000000.0,267.0,30.0
Jonathan Tropper,1,34296320.0,20000000.0,44.0,6.6
David Madsen,1,32051917.0,20000000.0,54.0,6.6
Alan Jay Lerner,2,87060711.0,37000000.0,145.0,14.399999999999999
Paddy Chayefsky,2,38189877.0,23800000.0,133.0,14.7
Mark Hanlon,1,30113491.0,20000000.0,28.0,5.6
Michael Spierig,3,55234589.0,24250000.0,119.0,17.200000000000003
Peter Spierig,3,55234589.0,24250000.0,119.0,17.200000000000003
Stephen Peters,1,30147739.0,20000000.0,52.0,6.6
J.S. Cardone,3,80220362.0,43000000.0,85.0,14.8
Carolyn Lefcourt,1,29062561.0,20000000.0,33.0,5.6
D.V. DeVincentis,2,55371494.0,35000000.0,155.0,14.7
Steve Pink,2,55371494.0,35000000.0,155.0,14.7
Andrew Klavan,1,26890041.0,20000000.0,24.0,4.0
Yasushi Akimoto,1,26890041.0,20000000.0,24.0,4.0
Minako Daira,1,26890041.0,20000000.0,24.0,4.0
Erika Holzer,1,26877589.0,20000000.0,25.0,6.2
Robert Kurtzman,1,25836616.0,20000000.0,48.0,7.2
Moe Jelline,1,25702053.0,20000000.0,28.0,5.7
Andrew Fleming,4,61630085.0,57000000.0,227.0,24.8
Tiffany Paulsen,1,25661055.0,20000000.0,53.0,5.9
Mildred Wirt Benson,1,25661055.0,20000000.0,53.0,5.9
Steve Moore,1,25107267.0,20000000.0,36.0,5.1
Chris Denk,1,25107267.0,20000000.0,36.0,5.1
Daniel Stiepleman,1,24704837.0,20000000.0,59.0,7.1
Shana Feste,3,43771937.0,41000000.0,120.0,19.1
Joshua Safran,1,23438250.0,20000000.0,30.0,6.2
Scott Spencer,1,23438250.0,20000000.0,30.0,6.2
Thomas Bezucha,2,83249637.0,38000000.0,99.0,12.1
April Blair,1,23186769.0,20000000.0,43.0,5.8
Maria Maggenti,5,54246774.0,40500000.0,nan,29.800000000000004
William Brent Bell,2,76348424.0,21000000.0,42.0,9.2
Matthew Peterman,2,76348424.0,21000000.0,42.0,9.2
Lucia Aniello,1,22105643.0,20000000.0,51.0,5.2
Paul W. Downs,1,22105643.0,20000000.0,51.0,5.2
Joseph Stefano,1,32000000.0,20000000.0,97.0,8.5
Robert Bloch,1,32000000.0,20000000.0,97.0,8.5
John Hill,3,nan,30500000.0,nan,18.0
Joyce Maynard,2,34656042.0,38000000.0,138.0,13.7
Álvaro Rodríguez,2,47512812.0,32500000.0,113.0,11.3
Víctor Ugalde,1,20919166.0,20000000.0,53.0,4.7
John Steakley,1,20308772.0,20000000.0,42.0,6.1
Robert Knott,1,20211394.0,20000000.0,64.0,6.7
Ed Harris,1,20211394.0,20000000.0,64.0,6.7
Robert B. Parker,1,20211394.0,20000000.0,64.0,6.7
Juan José Campanella,2,nan,22500000.0,83.0,12.7
Eduardo Sacheri,2,nan,22500000.0,83.0,12.7
Mike Binder,3,59995169.0,41000000.0,169.0,20.799999999999997
Jordan Cahan,1,19219250.0,20000000.0,34.0,5.8
Fred Bauer,1,18826490.0,20000000.0,nan,5.3
Pat Bradley,1,18826490.0,20000000.0,nan,5.3
Pat McCormick,1,18826490.0,20000000.0,nan,5.3
Edward Khmara,1,18432000.0,20000000.0,64.0,6.9
Tom Mankiewicz,4,118601383.0,41200000.0,221.0,26.8
Sean Penn,1,18354356.0,20000000.0,73.0,8.1
Jon Krakauer,1,18354356.0,20000000.0,73.0,8.1
John Irving,2,23396273.0,27500000.0,75.0,12.7
Brian Hohlfeld,1,18098433.0,20000000.0,64.0,6.4
Hal E. Chester,1,17807569.0,20000000.0,44.0,5.9
Matthew Orton,1,17612099.0,20000000.0,58.0,6.6
Chris Radant,1,17519169.0,20000000.0,56.0,6.5
Angela Workman,2,18919865.0,26000000.0,99.0,13.1
Diane Ackerman,1,17571660.0,20000000.0,57.0,7.0
Stephen Chow,3,17805569.0,50000000.0,192.0,21.400000000000002
Kan-Cheung Tsang,3,17805569.0,50000000.0,192.0,21.400000000000002
Xin Huo,1,17108591.0,20000000.0,78.0,7.7
Leigh Whannell,11,662191711.0,88700000.0,545.0,71.7
James V. Simpson,1,15988876.0,20000000.0,50.0,5.7
Khaled Hosseini,1,15800078.0,20000000.0,61.0,7.6
Forry Smith,1,15714234.0,20000000.0,38.0,5.7
Pete Schwaba,1,15545431.0,20000000.0,27.0,5.6
Matt Tarses,1,15545431.0,20000000.0,27.0,5.6
Fulton Oursler,1,nan,20000000.0,nan,6.5
Henry Denker,1,nan,20000000.0,nan,6.5
James Lee Barrett,1,nan,20000000.0,nan,6.5
Amy Heckerling,3,72253559.0,49700000.0,160.0,17.5
Michael Moore,7,nan,45140000.0,nan,50.89999999999999
James Mather,1,14326864.0,20000000.0,48.0,6.0
Steve Saint Leger,1,14326864.0,20000000.0,48.0,6.0
Karyn Bosnak,1,14011084.0,20000000.0,35.0,6.0
Gabrielle Allan,1,14011084.0,20000000.0,35.0,6.0
Jennifer Crittenden,1,14011084.0,20000000.0,35.0,6.0
Robert Farrar,1,13717039.0,20000000.0,nan,6.6
Michael Kalesniko,1,13651946.0,20000000.0,42.0,6.6
Steve Adams,1,13562325.0,20000000.0,31.0,4.8
Stephan Blinn,2,26010307.0,27200000.0,52.0,9.6
Mark Andrew Olsen,1,13395961.0,20000000.0,38.0,6.0
Tommy Tenney,1,13395961.0,20000000.0,38.0,6.0
Douglas McGrath,5,38500101.0,60900000.0,nan,33.300000000000004
Derek Cianfrance,4,nan,41400000.0,291.0,29.5
M.L. Stedman,1,12545979.0,20000000.0,60.0,7.2
David Giler,2,97924905.0,37000000.0,142.0,14.5
Daniel Kunka,1,12234694.0,20000000.0,38.0,5.6
John Ajvide Lindqvist,1,12134935.0,20000000.0,79.0,7.1
Shin Sang-ok,1,11798854.0,20000000.0,39.0,4.5
Mark Saltzman,1,11798854.0,20000000.0,39.0,4.5
David Rose,1,11036366.0,20000000.0,71.0,7.0
Kathy Rose,1,11036366.0,20000000.0,71.0,7.0
Martin Sherman,1,11036366.0,20000000.0,71.0,7.0
Rodney Patrick Vaccaro,1,10570375.0,20000000.0,36.0,6.0
Albert Husson,1,10555348.0,20000000.0,48.0,6.1
Caradog W. James,1,nan,20000000.0,52.0,6.0
Andy Samberg,1,9639125.0,20000000.0,68.0,6.7
Akiva Schaffer,1,9639125.0,20000000.0,68.0,6.7
Jorma Taccone,2,18164725.0,30000000.0,111.0,12.3
David Finkel,1,9536300.0,20000000.0,68.0,6.6
Kirk Jones,2,34001127.0,23000000.0,118.0,14.399999999999999
Giuseppe Tornatore,1,9208876.0,20000000.0,47.0,7.1
Tonino Guerra,2,nan,23000000.0,nan,14.8
Robert Grasmere,2,36470124.0,33000000.0,15.0,4.0
Francisca Matos,2,36470124.0,33000000.0,15.0,4.0
Steven Paul,2,36470124.0,33000000.0,15.0,4.0
Brin Hill,2,14198909.0,39000000.0,71.0,11.4
Chris Parker,2,100331608.0,32000000.0,76.0,10.8
Benson Lee,1,8888355.0,20000000.0,29.0,5.0
Jim Piddock,1,8330720.0,20000000.0,33.0,5.5
Margaret Oberman,2,16839563.0,38000000.0,65.0,11.3
Robert Adetuyi,3,nan,44000000.0,nan,14.3
Thomas Pynchon,1,8110975.0,20000000.0,81.0,6.6
Marcel Rodriguez,1,8008161.0,20000000.0,41.0,5.6
Federico Fellini,1,nan,20000000.0,53.0,6.9
Tullio Pinelli,1,nan,20000000.0,53.0,6.9
Paul Bassett,1,7438000.0,20000000.0,23.0,2.8
Tad Safran,1,7438000.0,20000000.0,23.0,2.8
Raoff Sanoussi,1,7438000.0,20000000.0,23.0,2.8
Rebecca Miller,2,8247606.0,21500000.0,123.0,13.2
Myrna Sokoloff,1,7013191.0,20000000.0,20.0,4.0
Lewis Friedman,1,7013191.0,20000000.0,20.0,4.0
Gilbert Ralston,1,6886089.0,20000000.0,61.0,6.1
Stephen Gilbert,1,6886089.0,20000000.0,61.0,6.1
Alejandro Monteverde,3,198629224.0,37800000.0,120.0,22.2
Pepe Portillo,1,6485961.0,20000000.0,30.0,7.3
Edward Fleming,1,nan,20000000.0,nan,5.1
Leif Panduro,1,nan,20000000.0,nan,5.1
Jim Meenaghan,1,6002756.0,20000000.0,45.0,7.1
Brandon Hooper,1,6002756.0,20000000.0,45.0,7.1
John Kerr,1,5704709.0,20000000.0,76.0,6.4
Josh A. Cagan,2,39241331.0,28500000.0,122.0,12.7
Elan Mastai,2,8671569.0,31000000.0,68.0,9.2
Michael Roesch,1,5178569.0,20000000.0,9.0,2.4
Peter Scheerer,1,5178569.0,20000000.0,9.0,2.4
Milo Addica,2,36368960.0,24000000.0,120.0,13.3
Jonathan Glazer,2,7709289.0,33300000.0,131.0,12.5
Jonathan Jakubowicz,1,4712792.0,20000000.0,54.0,6.6
David Gleeson,1,4535154.0,20000000.0,48.0,6.8
Stephen Beresford,1,4535154.0,20000000.0,48.0,6.8
Paul Gross,2,nan,27500000.0,nan,12.3
Philip Railsback,1,4442377.0,20000000.0,57.0,7.0
John Seabrook,1,4442377.0,20000000.0,57.0,7.0
Scott Wiper,1,3763583.0,20000000.0,22.0,4.9
John Petro,1,3763583.0,20000000.0,22.0,4.9
Dario Argento,2,nan,25000000.0,161.0,15.8
Daria Nicolodi,1,nan,20000000.0,79.0,7.3
Thomas De Quincey,1,nan,20000000.0,79.0,7.3
Joey Hartstone,1,2470979.0,20000000.0,54.0,6.5
Jean-Paul Rappeneau,1,2503286.0,20000000.0,68.0,6.7
Patrick Modiano,1,2503286.0,20000000.0,68.0,6.7
Jérôme Tonnerre,1,2503286.0,20000000.0,68.0,6.7
Angelo Pizzo,4,30587219.0,68000000.0,214.0,27.5
Jim Dent,1,2246000.0,20000000.0,34.0,7.1
Bronte Woodard,2,nan,26000000.0,nan,11.4
Allan Carr,1,nan,20000000.0,nan,4.2
Tiziano Sclavi,1,1186538.0,20000000.0,31.0,5.1
Scott Stabile,1,1065907.0,20000000.0,32.0,1.7
Kenn Viselman,1,1065907.0,20000000.0,32.0,1.7
Alex J Greene,1,1065907.0,20000000.0,32.0,1.7
Jane Hawksley,1,1031872.0,20000000.0,49.0,7.0
James MacManus,1,1031872.0,20000000.0,49.0,7.0
Simon van der Borgh,1,1031872.0,20000000.0,49.0,7.0
Marcus Hinchey,1,582024.0,20000000.0,57.0,6.3
Marc Smerling,1,582024.0,20000000.0,57.0,6.3
Angelina Jolie,2,842337.0,33000000.0,100.0,10.0
Sadayuki Murai,1,468867.0,20000000.0,66.0,6.8
Katsuhiro Ôtomo,2,1022038.0,28000000.0,133.0,14.8
Jacques Doillon,1,nan,20000000.0,nan,6.7
Denis Ferraris,1,nan,20000000.0,nan,6.7
Joseph Joffo,1,nan,20000000.0,nan,6.7
Geoffrey Douglas,1,375750.0,20000000.0,47.0,6.1
Tim Rose Price,1,305070.0,20000000.0,nan,6.4
Vincent Kok,1,207378.0,20000000.0,46.0,6.4
Jon Robin Baitz,2,314467.0,22000000.0,83.0,10.7
Zoya Kudrya,1,nan,20000000.0,nan,6.7
Vladimir Valutskiy,1,nan,20000000.0,nan,6.7
Raffaella Delle Donne,2,nan,35000000.0,nan,11.4
Anthony Silverston,2,nan,35000000.0,nan,11.4
Wayne Thornley,1,nan,20000000.0,nan,5.7
Brad Kane,1,nan,20000000.0,40.0,5.8
Liam O'Donnell,2,nan,30000000.0,72.0,9.8
Joshua Cordes,2,nan,30000000.0,72.0,9.8
Radu Mihaileanu,1,nan,20000000.0,nan,6.3
Marcia Romano,1,nan,20000000.0,nan,6.3
Nicole Krauss,1,nan,20000000.0,nan,6.3
Wray Arenz,1,nan,20000000.0,nan,3.0
Steven Lee Smeltzer,1,nan,20000000.0,nan,3.0
Adriana Stastny,1,nan,20000000.0,nan,3.0
Rob Hawk,1,nan,20000000.0,22.0,2.7
Federico Fellini (story),1,nan,20000000.0,nan,nan
Demian Gregory,1,nan,20000000.0,nan,nan
Brooks McLaren,1,nan,20000000.0,36.0,5.0
Josh Malerman,1,nan,19800000.0,51.0,6.6
W. Somerset Maugham,2,15799536.0,37400000.0,134.0,14.4
Scott Walker,1,nan,19200000.0,37.0,6.4
Latif Yahia,1,1361512.0,19100000.0,52.0,7.1
Emjay Rechsteiner,1,1361512.0,19100000.0,52.0,7.1
Michael Blake,1,184208848.0,19000000.0,72.0,8.0
Leigh Dunlap,1,51438175.0,19000000.0,25.0,5.9
Diane Johnson,1,45634352.0,19000000.0,66.0,8.4
Robb White,1,40846082.0,19000000.0,28.0,5.6
Dick Beebe,2,67283176.0,34000000.0,43.0,9.6
Scott Kosar,5,266582983.0,51640000.0,226.0,32.400000000000006
Alfred Hitchcock,2,nan,21000000.0,200.0,15.8
John Taintor Foote,2,nan,21000000.0,200.0,15.8
Richard Russo,1,39491975.0,19000000.0,86.0,7.3
Robert Benton,2,nan,21500000.0,172.0,15.0
Jeffrey Eugenides,2,32685655.0,25000000.0,129.0,13.3
Markus Zusak,1,21488481.0,19000000.0,53.0,7.5
Britt Allcroft,1,15933506.0,19000000.0,19.0,4.2
Wilbert Awdry,1,15933506.0,19000000.0,19.0,4.2
Rick Siggelkow,1,15933506.0,19000000.0,19.0,4.2
Talbot Jennings,1,nan,19000000.0,87.0,7.6
Jules Furthman,1,nan,19000000.0,87.0,7.6
Carey Wilson,2,nan,22900000.0,nan,15.399999999999999
Andy Behrens,1,8402485.0,19000000.0,49.0,6.5
Chris Soth,1,8165212.0,19000000.0,nan,4.8
Jackie Filgo,2,70931693.0,34000000.0,98.0,12.5
Jeff Filgo,2,70931693.0,34000000.0,98.0,12.5
Topher Grace,1,6928068.0,19000000.0,42.0,6.3
Daniel Barnz,2,33176125.0,36000000.0,82.0,11.9
John Altschuler,1,5059608.0,19000000.0,36.0,5.1
Dave Krinsky,1,5059608.0,19000000.0,36.0,5.1
Ben Barzman,1,nan,19000000.0,nan,6.7
Basilio Franchina,1,nan,19000000.0,nan,6.7
Philip Yordan,2,nan,36000000.0,nan,13.4
Robert Altman,2,42664944.0,37000000.0,147.0,13.5
Frank Barhydt,1,1356329.0,19000000.0,57.0,6.3
Jay Anson,1,65233369.0,18500000.0,33.0,5.9
Sandor Stern,1,65233369.0,18500000.0,33.0,5.9
Ricky Gervais,1,18451251.0,18500000.0,58.0,6.3
Tony Grisoni,2,10831919.0,27500000.0,nan,14.4
Paul Lalonde,2,28039848.0,34500000.0,24.0,6.2
John Patus,2,28039848.0,34500000.0,24.0,6.2
Tim LaHaye,2,28039848.0,34500000.0,24.0,6.2
Thomas Vinterberg,1,613308.0,18200000.0,77.0,8.3
Tobias Lindholm,1,613308.0,18200000.0,77.0,8.3
Michael Fallon,1,119938730.0,18000000.0,56.0,6.9
Anne Spielberg,1,115227281.0,18000000.0,73.0,7.3
Rosalind Wiseman,1,86058055.0,18000000.0,66.0,7.1
Tina Fey,1,86058055.0,18000000.0,66.0,7.1
Don D. Scott,2,140893382.0,30000000.0,125.0,12.0
Tyger Williams,2,84939507.0,21500000.0,112.0,13.1
Gabe Sachs,2,116702160.0,33000000.0,107.0,12.8
Jeff Judah,1,52698535.0,18000000.0,51.0,6.6
Peter Shaffer,1,51973029.0,18000000.0,87.0,8.4
Zdenek Mahler,1,51973029.0,18000000.0,87.0,8.4
Pierre-Oscar Lévy,1,48276510.0,18000000.0,55.0,5.8
Frederik Peeters,1,48276510.0,18000000.0,55.0,5.8
Sean McNamara,1,43853424.0,18000000.0,53.0,7.0
Deborah Schwartz,1,43853424.0,18000000.0,53.0,7.0
Frances Mayes,1,43610723.0,18000000.0,52.0,6.7
Jay Longino,1,42469946.0,18000000.0,57.0,5.8
Alexander Dinelaris,1,42340598.0,18000000.0,87.0,7.7
Jerry Leichtling,1,41382841.0,18000000.0,75.0,6.4
Arlene Sarner,1,41382841.0,18000000.0,75.0,6.4
Bob Balaban,1,41308615.0,18000000.0,90.0,7.2
Edwin Blum,1,36611610.0,18000000.0,48.0,6.3
Alonzo Brown,1,30308417.0,18000000.0,37.0,5.3
Kim Watson,1,30308417.0,18000000.0,37.0,5.3
Rick Friedberg,1,26960191.0,18000000.0,25.0,5.3
Diablo Cody,4,202833773.0,53000000.0,253.0,25.3
Lincoln Kirstein,1,26979166.0,18000000.0,78.0,7.8
Peter Burchard,1,26979166.0,18000000.0,78.0,7.8
Garth Stein,1,26395642.0,18000000.0,43.0,7.5
Roy Thomas,1,31042035.0,18000000.0,53.0,5.9
Gerry Conway,1,31042035.0,18000000.0,53.0,5.9
Joseph Heller,1,nan,18000000.0,70.0,7.1
Jody Hill,2,24241610.0,18079000.0,117.0,11.9
Jake LaMotta,1,23383987.0,18000000.0,90.0,8.1
Joseph Carter,1,23383987.0,18000000.0,90.0,8.1
Peter Savage,1,23383987.0,18000000.0,90.0,8.1
Christopher Gore,1,21202829.0,18000000.0,58.0,6.6
