Writer,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
Peter Rader,1,88246220.0,175000000.0,56.0,6.3
David Twohy,9,487830532.0,474000000.0,nan,58.2
Stephen Gaghan,7,368880245.0,462000000.0,363.0,43.3
Dan Gregor,1,77047065.0,175000000.0,26.0,5.6
Doug Mand,1,77047065.0,175000000.0,26.0,5.6
Guy Ritchie,10,212373979.0,421350000.0,511.0,69.7
Lionel Wigram,2,84620175.0,250000000.0,97.0,13.9
Hossein Amini,5,253762612.0,430000000.0,235.0,31.7
Walter Hamada,1,38362475.0,175000000.0,28.0,6.2
Domee Shi,1,nan,175000000.0,83.0,7.0
Julia Cho,1,nan,175000000.0,83.0,7.0
Sarah Streicher,1,nan,175000000.0,83.0,7.0
Jim Cash,6,1150706006.0,342000000.0,330.0,37.0
Jack Epps Jr.,6,1150706006.0,342000000.0,330.0,37.0
Michael Crichton,11,nan,878500000.0,533.0,70.0
Nicole Perlman,1,333718600.0,170000000.0,76.0,8.0
Justin Theroux,4,490315950.0,380000000.0,209.0,24.599999999999998
Don Heck,1,312433331.0,170000000.0,57.0,6.9
Mark Bomback,10,946800513.0,875000000.0,552.0,65.8
Chris Van Allsburg,2,218787607.0,235000000.0,128.0,12.8
Robert Zemeckis,7,662299849.0,381000000.0,404.0,49.599999999999994
William Broyles Jr.,9,1193763050.0,666800000.0,565.0,60.60000000000001
Evan Daugherty,6,795330777.0,598500000.0,250.0,36.699999999999996
John Lee Hancock,6,496593164.0,374000000.0,315.0,38.599999999999994
Tedi Sarafian,3,nan,196300000.0,146.0,17.4
Joe Grant,3,nan,252280000.0,251.0,22.0
Dick Huemer,2,nan,172280000.0,192.0,14.9
Otto Englander,4,nan,230489247.0,393.0,29.7
Zach Shields,3,254141707.0,340000000.0,156.0,18.5
Jeff Jensen,1,93436322.0,170000000.0,60.0,6.4
Laeta Kalogridis,4,337909291.0,560000000.0,194.0,27.4
Yukito Kishiro,1,85838210.0,170000000.0,53.0,7.3
Emily Carmichael,2,436725605.0,320000000.0,82.0,11.2
Josh Klausner,2,337448191.0,220000000.0,114.0,12.6
William Steig,4,1270845989.0,445000000.0,275.0,27.6
Jon Spaihts,6,697232857.0,644800000.0,343.0,42.4
Scott Derrickson,6,435588161.0,241000000.0,259.0,36.9
C. Robert Cargill,3,308469778.0,178000000.0,157.0,19.6
Jordan Roberts,2,nan,173000000.0,124.0,14.5
William Davies,7,566469070.0,480000000.0,380.0,45.6
Dean DeBlois,4,701323998.0,519000000.0,297.0,30.599999999999998
Denis Villeneuve,4,nan,222800000.0,291.0,31.5
Nicolas Wright,1,103144286.0,165000000.0,32.0,5.2
James A. Woods,1,103144286.0,165000000.0,32.0,5.2
Dean Devlin,4,514580976.0,395000000.0,154.0,24.5
Will Beall,2,381105217.0,220000000.0,95.0,13.5
Jeffrey Price,3,621834910.0,328000000.0,156.0,18.9
Danny Strong,2,618859787.0,285000000.0,129.0,13.1
Suzanne Collins,4,1451538526.0,495000000.0,273.0,27.8
Ishirô Honda,3,nan,296900000.0,203.0,20.1
Takeo Murata,2,401352138.0,285000000.0,124.0,12.8
Shigeru Kayama,2,401352138.0,285000000.0,124.0,12.8
Ashley Miller,3,375377259.0,335000000.0,163.0,19.799999999999997
Zack Stentz,3,375377259.0,335000000.0,163.0,19.799999999999997
Robin Swicord,6,276249245.0,431000000.0,nan,40.5
Lawrence Konner,9,668126634.0,507800000.0,447.0,54.6
Mark Rosenthal,6,275608792.0,405000000.0,273.0,35.4
Matt Lopez,3,240425560.0,290000000.0,131.0,17.8
Mark Protosevich,3,378401886.0,345000000.0,155.0,19.3
Paul Gallico,2,71108732.0,173000000.0,120.0,12.8
Charles Leavitt,7,209771366.0,540600000.0,nan,48.900000000000006
Duncan Jones,2,52375453.0,165000000.0,99.0,14.5
