Actor,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
James Ransone,4,nan,18000000.0,nan,22.799999999999997
Robert Daniel Sloan,1,27740955.0,10000000.0,32.0,5.3
Natalie Dormer,1,26594261.0,10000000.0,34.0,4.8
Eoin Macken,1,26594261.0,10000000.0,34.0,4.8
Stephanie Vogt,1,26594261.0,10000000.0,34.0,4.8
C. Thomas Howell,1,25837195.0,10000000.0,45.0,7.0
Charlie Korsmo,1,25605015.0,10000000.0,52.0,6.5
Jordin Sparks,1,24397469.0,10000000.0,54.0,5.7
Jacob Lofland,1,21590086.0,10000000.0,76.0,7.4
Eric Balfour,1,21393620.0,10000000.0,26.0,4.5
Donald Faison,3,40437737.0,16000000.0,nan,15.5
Scottie Thompson,1,21393620.0,10000000.0,26.0,4.5
James Allen McCune,1,20777061.0,10000000.0,47.0,5.0
Callie Hernandez,1,20777061.0,10000000.0,47.0,5.0
Corbin Reid,1,20777061.0,10000000.0,47.0,5.0
Brooke Adams,2,24213365.0,13000000.0,162.0,15.0
David Boreanaz,1,20384136.0,10000000.0,18.0,4.9
Robert Ben Garant,1,20342161.0,10000000.0,47.0,5.9
Kerri Kenney,1,20342161.0,10000000.0,47.0,5.9
Chris J. Murray,1,18300124.0,10000000.0,30.0,4.6
Brit Shaw,1,18300124.0,10000000.0,30.0,4.6
Ivy George,1,18300124.0,10000000.0,30.0,4.6
Michael Wright,1,18225518.0,10000000.0,50.0,5.8
Khandi Alexander,1,18225518.0,10000000.0,50.0,5.8
Chuck Norris,2,29768884.0,15000000.0,94.0,11.7
Richard Lynch,2,18336256.0,14000000.0,nan,10.4
Melissa Prophet,1,17536256.0,10000000.0,29.0,5.4
Russell Tovey,1,17156058.0,10000000.0,55.0,6.7
Finn Carter,1,16667084.0,10000000.0,65.0,7.1
Aria Wallace,1,16535005.0,10000000.0,27.0,5.4
Steve Oedekerk,1,16037962.0,10000000.0,14.0,6.2
Fei Lung,1,16037962.0,10000000.0,14.0,6.2
Leo Lee,1,16037962.0,10000000.0,14.0,6.2
Lillian Gish,3,nan,10495907.0,nan,20.1
Mae Marsh,3,nan,10495907.0,nan,20.1
Henry B. Walthall,2,nan,10110000.0,nan,12.4
Cricket Brown,1,15532137.0,10000000.0,36.0,5.1
Ric Young,1,15164492.0,10000000.0,56.0,6.1
Spencer Klein,1,13728902.0,10000000.0,47.0,5.9
Francesca Marie Smith,1,13728902.0,10000000.0,47.0,5.9
Jamil Walker Smith,1,13728902.0,10000000.0,47.0,5.9
Jacki Weaver,2,34721801.0,14000000.0,76.0,12.6
Celia Weston,2,nan,19400000.0,68.0,12.6
Christopher Convery,1,12611536.0,10000000.0,29.0,4.7
Owain Yeoman,1,12611536.0,10000000.0,29.0,4.7
Louie Leonardo,1,11967000.0,10000000.0,45.0,6.7
Chad Allen,1,11967000.0,10000000.0,45.0,6.7
Jack Guzman,1,11967000.0,10000000.0,45.0,6.7
Ho-Sung Pak,1,11555430.0,10000000.0,74.0,7.5
Lung Ti,1,11555430.0,10000000.0,74.0,7.5
David Herman,1,10827810.0,10000000.0,68.0,7.6
Babou Ceesay,1,10205616.0,10000000.0,49.0,7.3
Johnny Flynn,2,10087606.0,16000000.0,119.0,12.5
Mia Goth,2,21820664.0,11000000.0,150.0,13.3
Mika Boorem,1,9436390.0,10000000.0,33.0,5.3
Scout Taylor-Compton,1,9436390.0,10000000.0,33.0,5.3
Stephen Merchant,1,8840453.0,10000000.0,18.0,4.3
Dolly Wells,1,8803865.0,10000000.0,87.0,7.1
Craig Wasson,2,53595162.0,15000000.0,118.0,13.399999999999999
Eva Longoria,4,nan,19000000.0,nan,21.9
Lake Bell,3,nan,16000000.0,114.0,16.7
Melanie Lynskey,4,10362417.0,20070000.0,271.0,25.9
Josh Stewart,2,14554172.0,13000000.0,67.0,12.399999999999999
Emma Fitzpatrick,2,6879209.0,13000000.0,69.0,12.899999999999999
Maria Hofstätter,1,13031.0,10000000.0,66.0,7.0
Christine Jirku,1,13031.0,10000000.0,66.0,7.0
Viktor Hennemann,1,13031.0,10000000.0,66.0,7.0
Steven Adler,1,nan,10000000.0,nan,6.9
Bernard Baur,1,nan,10000000.0,nan,6.9
Barbara Church,1,nan,10000000.0,nan,6.9
Gilby Clarke,1,nan,10000000.0,nan,6.9
Richard Farnsworth,1,6203044.0,10000000.0,86.0,8.0
Jane Galloway Heitz,1,6203044.0,10000000.0,86.0,8.0
Andy Kaufman,1,2154696.0,10000000.0,nan,4.2
Bernadette Peters,1,2154696.0,10000000.0,nan,4.2
Jeremy Davies,2,9550103.0,14000000.0,140.0,14.2
Shirley Henderson,2,5751682.0,14500000.0,144.0,13.600000000000001
Tuncel Kurtiz,1,nan,10000000.0,nan,6.1
Erkan Can,1,nan,10000000.0,nan,6.1
Sevval Sam,1,nan,10000000.0,nan,6.1
Peter Elliott,1,4711220.0,10000000.0,32.0,3.9
Sherri Shepherd,1,4376819.0,10000000.0,58.0,7.2
William Moseley,2,nan,19900000.0,nan,10.600000000000001
Alia Seror-O'Neill,1,nan,10000000.0,nan,5.4
Spencer Rocco Lofranco,1,4343227.0,10000000.0,24.0,4.8
Malcolm Sinclair,1,3866794.0,10000000.0,56.0,7.2
Ben Winchell,1,3818664.0,10000000.0,22.0,4.6
Cumisha Amado,1,nan,10000000.0,nan,nan
Bionca,1,nan,10000000.0,nan,nan
Paisley Hunter,1,nan,10000000.0,nan,nan
Jill Kelly,1,nan,10000000.0,nan,nan
Wallace Wood,1,3275585.0,10000000.0,50.0,6.6
Peter Fonda,2,12366354.0,12700000.0,150.0,13.9
Lesley Ann Warren,1,3204663.0,10000000.0,73.0,6.9
Kim Bodnia,1,3128941.0,10000000.0,67.0,6.6
Dimitri Leonidas,1,3128941.0,10000000.0,67.0,6.6
Eleanor Bron,1,3043284.0,10000000.0,78.0,7.0
Elsa Pataky,1,nan,10000000.0,nan,5.8
Michael Guy Chislett,1,2394386.0,10000000.0,43.0,6.1
Matt Crocker,1,2394386.0,10000000.0,43.0,6.1
Adam Crosariol,1,2394386.0,10000000.0,43.0,6.1
Savion Glover,1,2274979.0,10000000.0,56.0,6.6
Lesley-Anne Down,1,2022771.0,10000000.0,nan,5.1
Maurice Ronet,1,2022771.0,10000000.0,nan,5.1
José Julián,1,1759252.0,10000000.0,64.0,7.2
Eddie 'Piolin' Sotelo,1,1759252.0,10000000.0,64.0,7.2
Hrithik Roshan,3,3712581.0,20200000.0,nan,18.4
Priyanka Chopra Jonas,1,1430721.0,10000000.0,68.0,6.4
Rekha,1,1430721.0,10000000.0,68.0,6.4
Juno Temple,3,nan,17613933.0,158.0,20.3
John Slattery,1,1281258.0,10000000.0,44.0,6.0
William Devane,1,1064454.0,10000000.0,37.0,6.3
Norah Jones,1,867275.0,10000000.0,51.0,6.6
Leo Bassi,1,840134.0,10000000.0,60.0,6.0
Henri Béhar,1,840134.0,10000000.0,60.0,6.0
Maurizio Benazzo,1,840134.0,10000000.0,60.0,6.0
Isabella Kai,1,663725.0,10000000.0,57.0,7.3
Violet McGraw,1,663725.0,10000000.0,57.0,7.3
Tom Welling,1,653651.0,10000000.0,51.0,6.4
Adriano Giannini,1,598645.0,10000000.0,18.0,3.6
Wei Zhao,1,489600.0,10000000.0,68.0,7.3
Yat-Fei Wong,1,489600.0,10000000.0,68.0,7.3
Vincent Gallo,2,2741398.0,11500000.0,119.0,12.3
Chloë Sevigny,7,nan,28000000.0,444.0,43.6
Cheryl Tiegs,1,366301.0,10000000.0,51.0,4.9
Willis Burks II,1,268461.0,10000000.0,63.0,6.6
André Hennicke,1,nan,10000000.0,nan,7.1
Ariella Hirshfeld,1,nan,10000000.0,nan,7.1
Mehdi Moinzadeh,1,nan,10000000.0,nan,7.1
Kevin McNally,1,228194.0,10000000.0,39.0,6.1
Morgan Murphy,1,221805.0,10000000.0,69.0,6.9
Christian Vazquez,1,173472.0,10000000.0,nan,6.2
Angélica Aragón,1,173472.0,10000000.0,nan,6.2
Liz Gallardo,1,173472.0,10000000.0,nan,6.2
Jahking Guillory,1,150191.0,10000000.0,69.0,6.4
Christopher Meyer,1,150191.0,10000000.0,69.0,6.4
Christopher Jordan Wallace,2,2861834.0,15000000.0,134.0,12.8
Corbin Bleu,1,141108.0,10000000.0,nan,3.9
Sandra Echeverría,1,141108.0,10000000.0,nan,3.9
Matt Bush,1,139034.0,10000000.0,31.0,5.7
Sean Marquette,1,139034.0,10000000.0,31.0,5.7
Susan Walters,1,109383.0,10000000.0,49.0,6.5
Natalie Alyn Lind,1,109383.0,10000000.0,49.0,6.5
Bryan Greenberg,1,100688.0,10000000.0,47.0,5.8
Tiger Hu Chen,1,76289.0,10000000.0,60.0,5.6
Uriah Shelton,1,47305.0,10000000.0,nan,6.4
Coolio,1,45779.0,10000000.0,nan,3.5
Chuck D,1,45779.0,10000000.0,nan,3.5
Ted Danson,1,19716.0,10000000.0,47.0,5.5
Harry Dean Stanton,2,148716.0,11500000.0,129.0,12.4
Jeezy,1,9069.0,10000000.0,nan,5.1
Franck Dubosc,1,nan,10000000.0,nan,6.1
Florence Foresti,1,nan,10000000.0,nan,6.1
Alexander Petrov,1,nan,10000000.0,nan,6.8
Irina Starshenbaum,1,nan,10000000.0,nan,6.8
Viktor Dobronravov,1,nan,10000000.0,nan,6.8
Damian Walshe-Howling,1,nan,10000000.0,nan,5.8
Gyton Grantley,1,nan,10000000.0,nan,5.8
Adrienne Pickering,1,nan,10000000.0,nan,5.8
Craig Fairbrass,1,nan,10000000.0,nan,5.7
Sarah Snook,3,nan,20500000.0,nan,17.200000000000003
Joelle Carter,1,nan,10000000.0,37.0,5.4
Earl Minor,1,nan,10000000.0,23.0,5.0
Emilia Jones,1,nan,10000000.0,72.0,8.0
Marlee Matlin,1,nan,10000000.0,72.0,8.0
Troy Kotsur,1,nan,10000000.0,72.0,8.0
Sanjeev Bhaskar,1,nan,10000000.0,40.0,5.4
Steve Morphew,1,nan,10000000.0,40.0,5.4
Steve Jones,1,nan,10000000.0,40.0,5.4
Tyrone Marshall Brown,1,nan,10000000.0,nan,4.3
Mishael Morgan,1,nan,10000000.0,nan,4.3
Nikki Grant,1,nan,10000000.0,nan,4.3
Kevin Zegers,3,nan,14000000.0,nan,19.5
Jessica DiCicco,1,nan,10000000.0,nan,4.4
Luke Treadaway,2,nan,18000000.0,126.0,15.0
Cristian Motiu,1,nan,10000000.0,58.0,6.2
Luke Perry,3,nan,13300000.0,nan,16.2
Jon Gries,3,nan,10445000.0,nan,17.4
Shanley Caswell,2,nan,11000000.0,nan,7.8999999999999995
Christopher George,2,nan,10250000.0,nan,10.0
Andrew Prine,1,nan,10000000.0,25.0,5.2
Richard Jaeckel,1,nan,10000000.0,25.0,5.2
Megalyn Echikunwoke,1,nan,10000000.0,nan,5.5
Eden Sher,1,nan,10000000.0,nan,5.5
Lyndon Smith,1,nan,10000000.0,nan,5.5
André Holland,2,nan,12000000.0,163.0,12.9
Thomas Rongen,1,43089.0,10000000.0,71.0,7.8
Jaiyah Saelua,1,43089.0,10000000.0,71.0,7.8
Nicky Salapu,1,43089.0,10000000.0,71.0,7.8
Alycia Debnam-Carey,1,3759078.0,9900000.0,31.0,5.2
Connor Paolo,2,3792323.0,13900000.0,97.0,11.600000000000001
Dustin Milligan,2,nan,12900000.0,nan,11.7
Jean-Louis Trintignant,1,6739492.0,9700000.0,95.0,7.9
Emmanuelle Riva,1,6739492.0,9700000.0,95.0,7.9
Justin Pierce,2,64740819.0,11000000.0,104.0,13.1
Akiko Wakabayashi,1,43084787.0,9500000.0,61.0,6.8
Mie Hama,1,43084787.0,9500000.0,61.0,6.8
Sakshi Tanwar,1,12391761.0,9500000.0,nan,8.3
Fatima Sana Shaikh,1,12391761.0,9500000.0,nan,8.3
Daniella Alonso,1,nan,9500000.0,nan,4.9
Roger Cross,1,nan,9500000.0,nan,4.9
Shelley Hennig,1,nan,9500000.0,36.0,6.4
Spencer Tracy,5,nan,18327000.0,nan,36.900000000000006
Milton Berle,1,46332858.0,9400000.0,59.0,7.5
Ethel Merman,1,46332858.0,9400000.0,59.0,7.5
Carmen Maura,1,12899867.0,9400000.0,84.0,7.6
Lola Dueñas,1,12899867.0,9400000.0,84.0,7.6
Richard Romanus,1,546545.0,9300000.0,51.0,6.6
Joe Flaherty,1,546545.0,9300000.0,51.0,6.6
Charlie Plummer,2,3705574.0,17300000.0,141.0,14.4
Christopher Bowen,1,2684904.0,9200000.0,86.0,7.3
Bárbara Mori,1,1685269.0,9200000.0,62.0,6.0
Nicholas Brown,1,1685269.0,9200000.0,62.0,6.0
Laurent Lafitte,1,2341534.0,9100000.0,89.0,7.1
Anne Consigny,1,2341534.0,9100000.0,89.0,7.1
Rachael Taylor,1,nan,9100000.0,nan,7.3
Rohan Nichol,1,nan,9100000.0,nan,7.3
Riccardo Scamarcio,1,nan,9100000.0,nan,7.2
Nicole Grimaudo,1,nan,9100000.0,nan,7.2
Alessandro Preziosi,1,nan,9100000.0,nan,7.2
Max Renaudin Pratt,1,nan,9100000.0,64.0,6.9
Simon Abkarian,2,nan,10800000.0,119.0,13.3
Abraham Adesoye,1,nan,9100000.0,64.0,6.9
Haley Lu Richardson,5,200085142.0,29200000.0,326.0,35.1
Andrew Bryniarski,2,161143310.0,9140000.0,76.0,12.4
Norma Crane,1,10404330.0,9000000.0,67.0,8.0
Leonard Frey,1,10404330.0,9000000.0,67.0,8.0
Zach Gilford,2,87784261.0,16000000.0,84.0,10.600000000000001
Claudine Auger,1,63595658.0,9000000.0,64.0,6.9
Adolfo Celi,1,63595658.0,9000000.0,64.0,6.9
Jay Ellis,1,57005601.0,9000000.0,48.0,6.4
Raymond Cruz,1,54733739.0,9000000.0,41.0,5.2
Patricia Velasquez,1,54733739.0,9000000.0,41.0,5.2
Gemma Ward,1,52597610.0,9000000.0,47.0,6.1
Elizabeth Reaser,1,35144505.0,9000000.0,65.0,6.2
Lulu Wilson,1,35144505.0,9000000.0,65.0,6.2
Annalise Basso,1,35144505.0,9000000.0,65.0,6.2
Catherine Hicks,1,33244684.0,9000000.0,58.0,6.7
Israel Broussard,2,83831975.0,14000000.0,115.0,12.8
Phi Vu,1,28148130.0,9000000.0,57.0,6.2
Vilhelm Blomgren,1,27426361.0,9000000.0,72.0,7.1
Tucker Albrizzi,1,24540079.0,9000000.0,74.0,8.0
Tony Benn,1,24540079.0,9000000.0,74.0,8.0
Gillian Jacobs,2,32047179.0,18000000.0,103.0,12.3
Olivia Hussey,2,nan,14000000.0,130.0,14.2
Blake Jenner,1,14431633.0,9000000.0,77.0,7.3
Greta Gerwig,5,24843545.0,22200000.0,375.0,33.2
Robert Urich,1,14255801.0,9000000.0,44.0,5.6
Mary Crosby,1,14255801.0,9000000.0,44.0,5.6
Michael D. Roberts,1,14255801.0,9000000.0,44.0,5.6
Cory Monteith,1,11862398.0,9000000.0,48.0,5.6
Azhy Robertson,1,10475990.0,9000000.0,58.0,5.7
Simon Shepherd,1,10161099.0,9000000.0,83.0,7.5
Will Dalton,1,7751969.0,9000000.0,79.0,7.0
Philip Bosco,1,6623082.0,9000000.0,85.0,7.1
Anais Lee,1,4950029.0,9000000.0,52.0,5.9
Charles Melton,1,4950029.0,9000000.0,52.0,5.9
Chris Young,2,8232699.0,12000000.0,nan,11.9
Megan Ward,1,4330020.0,9000000.0,42.0,6.5
Drew Fuller,1,3438735.0,9000000.0,49.0,7.3
Walter Chiari,1,nan,9000000.0,nan,7.7
Tina Apicella,1,nan,9000000.0,nan,7.7
Carly Schroeder,3,nan,12800000.0,nan,16.9
Andrew Shue,1,2956339.0,9000000.0,52.0,6.2
Chris O'Dowd,2,5895762.0,15000000.0,134.0,13.6
Deborah Mailman,1,2450867.0,9000000.0,67.0,7.0
Jessica Mauboy,2,2564435.0,15750000.0,121.0,13.2
Leslie Easterbrook,1,2000620.0,9000000.0,35.0,7.3
Christopher Severio,1,2000620.0,9000000.0,35.0,7.3
Shaun Evans,1,883887.0,9000000.0,41.0,6.1
M.L. Piyapas Bhirombhakdi,1,454736.0,9000000.0,58.0,6.4
Chatchai Plengpanich,1,454736.0,9000000.0,58.0,6.4
Jesuthasan Antonythasan,1,261819.0,9000000.0,76.0,7.2
Kalieaswari Srinivasan,1,261819.0,9000000.0,76.0,7.2
Claudine Vinasithamby,1,261819.0,9000000.0,76.0,7.2
Ruth Sheen,2,3407252.0,17000000.0,153.0,14.9
John Henshaw,1,151644.0,9000000.0,nan,6.9
Henry Max Nelson,1,70066.0,9000000.0,58.0,6.4
Sapphire Blossom,1,14443.0,9000000.0,56.0,6.5
Christian Byers,1,14443.0,9000000.0,56.0,6.5
Vince Colosimo,1,14443.0,9000000.0,56.0,6.5
Artur Queiroz,1,3190.0,9000000.0,78.0,7.3
Luis Alberto Ferreira,1,3190.0,9000000.0,78.0,7.3
Carlota Machado,1,3190.0,9000000.0,78.0,7.3
Alain Chabat,2,nan,15000000.0,nan,13.8
Max Boublil,1,nan,9000000.0,nan,6.1
Sandrine Kiberlain,1,nan,9000000.0,nan,6.1
Brendan Cowell,1,nan,9000000.0,nan,7.0
Harrison Gilbertson,1,nan,9000000.0,nan,7.0
Steve Le Marquand,1,nan,9000000.0,nan,7.0
John Phillip Law,1,nan,9000000.0,51.0,5.8
Anita Pallenberg,1,nan,9000000.0,51.0,5.8
Karin Viard,1,211440.0,8900000.0,74.0,7.3
JoeyStarr,1,211440.0,8900000.0,74.0,7.3
Marina Foïs,1,211440.0,8900000.0,74.0,7.3
John Meillon,1,174803506.0,8800000.0,62.0,6.6
Jeon Yeo-been,1,541719.0,8600000.0,78.0,7.1
Mae Whitman,1,34030343.0,8500000.0,56.0,6.4
Bella Thorne,2,43591407.0,11300000.0,94.0,13.0
Corey Haim,2,44677310.0,15500000.0,89.0,13.600000000000001
Masako Nozawa,1,30712119.0,8500000.0,59.0,7.7
Aya Hisakawa,1,30712119.0,8500000.0,59.0,7.7
Ryô Horikawa,1,30712119.0,8500000.0,59.0,7.7
Frederic Forrest,1,29174648.0,8500000.0,67.0,6.9
Griffin Gluck,1,20007149.0,8500000.0,51.0,6.1
Alexa Nisenson,1,20007149.0,8500000.0,51.0,6.1
Loren Nelson,1,14902041.0,8500000.0,83.0,7.3
Tabu,1,13569248.0,8500000.0,82.0,7.5
Mariah Carey,1,4274407.0,8500000.0,14.0,2.4
Eric Benét,1,4274407.0,8500000.0,14.0,2.4
Max Beesley,1,4274407.0,8500000.0,14.0,2.4
Ahn Sung-ki,1,298347.0,8500000.0,nan,7.0
Sol Kyung-gu,1,298347.0,8500000.0,nan,7.0
Joon-ho Huh,1,298347.0,8500000.0,nan,7.0
Paul Sorvino,4,nan,18500000.0,nan,nan
Anthony Head,1,146750.0,8500000.0,32.0,6.4
Jason Jones,1,nan,8500000.0,nan,3.6
Kajol,1,4018771.0,8470000.0,50.0,7.9
Sheetal Menon,1,4018771.0,8470000.0,50.0,7.9
Rishi Kapoor,1,1207007.0,8400000.0,nan,7.1
Ranbir Kapoor,2,nan,9370000.0,nan,14.7
Aditya Roy Kapoor,1,3827466.0,8300000.0,nan,7.2
Vanessa Martinez,1,2160710.0,8300000.0,68.0,7.0
Pádraic Delaney,1,1836089.0,8300000.0,82.0,7.5
Omar Metwally,1,493296.0,8300000.0,52.0,6.3
Necati Sasmaz,1,nan,8300000.0,nan,5.7
Ghassan Massoud,1,nan,8300000.0,nan,5.7
Amleto Novelli,1,nan,8250000.0,nan,6.2
Gustavo Serena,1,nan,8250000.0,nan,6.2
Carlo Cattaneo,1,nan,8250000.0,nan,6.2
Eleanor Parker,2,nan,9500000.0,nan,15.0
Samy Seghir,1,nan,8200000.0,nan,5.5
Jérémy Denisty,1,nan,8200000.0,nan,5.5
Rachida Brakni,1,nan,8200000.0,nan,5.5
Jim Henson,1,65810475.0,8000000.0,74.0,7.6
Frank Oz,1,65810475.0,8000000.0,74.0,7.6
Jerry Nelson,1,65810475.0,8000000.0,74.0,7.6
Wil Wheaton,1,52287414.0,8000000.0,75.0,8.1
River Phoenix,2,58688750.0,10500000.0,152.0,15.1
Corey Feldman,1,52287414.0,8000000.0,75.0,8.1
Roberts Blossom,1,43000000.0,8000000.0,76.0,7.6
Jarell Houston,1,40363810.0,8000000.0,37.0,3.8
Raz B,1,40363810.0,8000000.0,37.0,3.8
Ananda Everingham,1,nan,8000000.0,nan,7.0
Natthaweeranuch Thongmee,1,nan,8000000.0,nan,7.0
Achita Sikamana,1,nan,8000000.0,nan,7.0
Patti D'Arbanville,1,26154211.0,8000000.0,27.0,5.0
Dabney Coleman,1,26154211.0,8000000.0,27.0,5.0
George Lazenby,1,22774493.0,8000000.0,61.0,6.7
Diana Rigg,1,22774493.0,8000000.0,61.0,6.7
Telly Savalas,1,22774493.0,8000000.0,61.0,6.7
Hal Holbrook,1,21028755.0,8000000.0,59.0,6.8
Melissa Joan Hart,3,nan,15000000.0,nan,15.5
Stephen Collins,1,17845337.0,8000000.0,42.0,5.8
Guillermo Diaz,1,17460020.0,8000000.0,16.0,6.6
Jim Breuer,1,17460020.0,8000000.0,16.0,6.6
Siobhan Fallon Hogan,1,16734283.0,8000000.0,29.0,5.7
Adam Levine,1,16170632.0,8000000.0,62.0,7.4
Glenn Jacobs,1,15032800.0,8000000.0,17.0,5.0
Christina Vidal,1,15032800.0,8000000.0,17.0,5.0
Michael J. Pagan,1,15032800.0,8000000.0,17.0,5.0
Deborah Rush,1,14018296.0,8000000.0,71.0,6.4
Michel Beaudry,1,12665721.0,8000000.0,nan,6.7
Patrice Bélanger,1,12665721.0,8000000.0,nan,6.7
Pierre Boudreau,1,12665721.0,8000000.0,nan,6.7
Aimee Teegarden,1,10130219.0,8000000.0,50.0,5.4
Thomas McDonell,1,10130219.0,8000000.0,50.0,5.4
DeVaughn Nixon,1,10130219.0,8000000.0,50.0,5.4
Suzzanne Douglas,1,8880705.0,8000000.0,nan,6.3
Keir Gilchrist,2,21037704.0,10000000.0,146.0,13.899999999999999
Murilo Benício,1,5020111.0,8000000.0,41.0,5.3
Harold Perrineau,1,5020111.0,8000000.0,41.0,5.3
Barry Corbin,2,4714430.0,8075000.0,nan,10.5
Tom Noonan,2,3860501.0,8900000.0,161.0,13.6
Daniel Auteuil,1,3647381.0,8000000.0,86.0,7.3
Maurice Bénichou,1,3647381.0,8000000.0,86.0,7.3
Brandon Lee,1,2275557.0,8000000.0,nan,6.1
Cary-Hiroyuki Tagawa,2,4276681.0,10000000.0,nan,11.5
Logan Arevalo,1,1400603.0,8000000.0,46.0,5.4
Julian Bray,1,1400603.0,8000000.0,46.0,5.4
Adolfo Alvarez,1,1400603.0,8000000.0,46.0,5.4
Amy Seimetz,1,1163056.0,8000000.0,80.0,7.2
Evan McGuire,1,676775.0,8000000.0,81.0,7.5
Mick Lally,1,676775.0,8000000.0,81.0,7.5
Margaret Lockwood,1,nan,8000000.0,nan,6.8
Patricia Roc,1,nan,8000000.0,nan,6.8
Paulo Araujo,1,458232.0,8000000.0,53.0,6.3
Ty Thomas Reed,1,458232.0,8000000.0,53.0,6.3
Yvan Attal,1,434702.0,8000000.0,54.0,6.0
Gabriel Sky,1,434702.0,8000000.0,54.0,6.0
Kesun Loder,1,304533.0,8000000.0,70.0,6.7
Henry Hopper,1,163265.0,8000000.0,47.0,6.7
Ryo Kase,1,163265.0,8000000.0,47.0,6.7
Seymour Cassel,1,127414.0,8000000.0,44.0,5.5
Merle Oberon,1,624643.0,8000000.0,nan,7.5
Bob the Cat,1,82703.0,8000000.0,54.0,7.3
Ruta Gedmintas,1,82703.0,8000000.0,54.0,7.3
Alison Pill,1,23106.0,8000000.0,33.0,6.5
Chris Owen,1,23106.0,8000000.0,33.0,6.5
Mitsuo Iwata,1,553171.0,8000000.0,67.0,8.0
Nozomu Sasaki,1,553171.0,8000000.0,67.0,8.0
Mami Koyama,1,553171.0,8000000.0,67.0,8.0
Jae-yeong Jeong,1,nan,8000000.0,nan,7.6
Shin Ha-kyun,1,nan,8000000.0,nan,7.6
Kang Hye-jeong,2,nan,11000000.0,nan,16.0
Belçim Bilgin,1,nan,8000000.0,48.0,6.3
Ross Lynch,1,nan,8000000.0,nan,5.9
Maia Mitchell,1,nan,8000000.0,nan,5.9
Gracie Gillam,1,nan,8000000.0,nan,5.9
Katt Williams,2,nan,11500000.0,nan,nan
Tara Westwood,1,nan,8000000.0,nan,nan
Erik,1,nan,8000000.0,nan,nan
Craig Sheffer,1,nan,8000000.0,nan,4.1
James Russo,2,nan,10500000.0,nan,11.1
Naser Ashoori,1,nan,7600000.0,nan,nan
Safoora Kazempour,1,nan,7600000.0,nan,nan
Taha Mohammadi,1,nan,7600000.0,nan,nan
Scott Neustadter,1,nan,7500000.0,nan,7.7
Marc Webb,1,nan,7500000.0,nan,7.7
Anita Mui,1,32392047.0,7500000.0,61.0,6.7
Françoise Yip,1,32392047.0,7500000.0,61.0,6.7
Lauren German,2,nan,10500000.0,74.0,11.3
Heather Matarazzo,2,22178471.0,8300000.0,129.0,12.9
Bijou Phillips,2,18090263.0,9600000.0,91.0,12.4
Paul McCrane,1,5142858.0,7500000.0,36.0,5.9
James B. Douglas,1,4245870.0,7500000.0,nan,5.9
Jenny McCarthy-Wahlberg,1,4161625.0,7500000.0,17.0,3.4
Richard Bull,1,4161625.0,7500000.0,17.0,3.4
Sam Hennings,1,3347647.0,7500000.0,nan,6.5
Alexander Carroll,1,3347647.0,7500000.0,nan,6.5
Christina Hendricks,3,25965263.0,14500000.0,141.0,17.0
Bob Dylan,1,533569.0,7500000.0,32.0,5.3
Mbong Amata,1,5782.0,7500000.0,31.0,5.3
Enyinna Nwigwe,1,5782.0,7500000.0,31.0,5.3
Hakeem Kae-Kazim,1,5782.0,7500000.0,31.0,5.3
Desmond Harrington,1,nan,7500000.0,nan,6.2
Daniel Brocklebank,1,nan,7500000.0,nan,6.2
Vincent Regan,1,nan,7500000.0,nan,4.8
John Ralston,1,nan,7500000.0,41.0,5.1
Aki Aleong,1,nan,7500000.0,41.0,5.1
Owen Atlas,1,nan,7500000.0,nan,5.7
Douglas Smith,2,nan,12100000.0,84.0,10.3
Lucien Laviscount,1,22395806.0,7400000.0,37.0,4.3
Cressida Bonas,1,22395806.0,7400000.0,37.0,4.3
Saif Ali Khan,2,927845.0,9400000.0,nan,10.5
Jaaved Jaaferi,2,927845.0,9400000.0,nan,10.5
Chiara Mastroianni,1,4445756.0,7300000.0,90.0,8.0
Matthias Flückiger,1,nan,7250000.0,nan,nan
Guido Rieger,1,nan,7250000.0,nan,nan
Manuela Biedermann,1,nan,7250000.0,nan,nan
Jill St. John,1,43819547.0,7200000.0,59.0,6.5
Charles Gray,1,43819547.0,7200000.0,59.0,6.5
Catherine Oxenberg,1,12614346.0,7200000.0,14.0,3.6
Michael Nouri,1,92921203.0,7000000.0,39.0,6.2
Lilia Skala,2,108748003.0,7950000.0,89.0,13.100000000000001
J. Michael Finley,1,83482352.0,7000000.0,30.0,7.3
Oliver Jackson-Cohen,2,71507067.0,7027000.0,147.0,13.899999999999999
Harriet Dyer,1,70410000.0,7000000.0,72.0,7.1
Cole Sprouse,1,45729221.0,7000000.0,53.0,7.2
Paul Reubens,1,41047344.0,7000000.0,47.0,7.0
Mark Holton,1,41047344.0,7000000.0,47.0,7.0
Jane Seymour,2,45087433.0,12100000.0,84.0,13.9
Chaney Kley,1,32551396.0,7000000.0,23.0,5.0
Emma Caulfield Ford,1,32551396.0,7000000.0,23.0,5.0
Antony Burrows,1,32551396.0,7000000.0,23.0,5.0
Lucy Hale,2,68720304.0,10500000.0,57.0,10.100000000000001
Shauna Macdonald,1,26024456.0,7000000.0,71.0,7.2
Natalie Mendoza,1,26024456.0,7000000.0,71.0,7.2
