Actor,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
Sanaa Lathan,5,189204938.0,154000000.0,274.0,31.999999999999996
Anne Archer,3,362184997.0,121000000.0,205.0,20.6
Martin Sheen,6,223458902.0,171500000.0,nan,42.7
Jennifer Jason Leigh,9,130564759.0,226200000.0,582.0,62.3
Romany Malco,3,62086041.0,74000000.0,84.0,14.6
Millicent Simmonds,2,348096622.0,78000000.0,153.0,14.7
Kaya Scodelario,6,299931265.0,238500000.0,285.0,35.8
Thomas Brodie-Sangster,1,81697192.0,61000000.0,43.0,6.3
Ki Hong Lee,2,72333948.0,73000000.0,82.0,11.3
Ashley Judd,16,577823298.0,439800000.0,754.0,99.99999999999999
Jonah Hauer-King,1,42004346.0,61000000.0,50.0,6.7
Edward James Olmos,3,nan,82305000.0,nan,20.5
Jenny Hu,1,nan,60720000.0,nan,6.2
Han Chin,1,nan,60720000.0,nan,6.2
Yi Ling Chen,1,nan,60720000.0,nan,6.2
Blythe Danner,4,416892148.0,117000000.0,210.0,26.4
Eric Dane,1,143153751.0,60000000.0,53.0,7.0
Michael Clarke Duncan,5,269977572.0,188300000.0,191.0,28.700000000000003
Laura Linney,13,534120146.0,338200000.0,806.0,89.6
Jon Favreau,6,277659236.0,164200000.0,331.0,38.6
Sean Bean,10,nan,285450000.0,nan,nan
Anjelica Huston,10,554305612.0,329400000.0,nan,66.9
Alicia Witt,4,149925402.0,114000000.0,151.0,23.8
Woody Allen,14,nan,227500000.0,nan,95.7
Steven Brand,1,91047077.0,60000000.0,45.0,5.5
Snoop Dogg,6,165843078.0,118800000.0,nan,33.1
Hilary Duff,9,nan,239000000.0,nan,45.89999999999999
Richard Jenkins,8,279781499.0,204800000.0,481.0,53.60000000000001
Teri Hatcher,2,145844209.0,115000000.0,121.0,14.100000000000001
John Hodgman,1,82435595.0,60000000.0,80.0,7.7
Jacinda Barrett,2,92349276.0,80000000.0,91.0,12.4
Saffron Burrows,4,115450883.0,114000000.0,186.0,22.799999999999997
Alex Al,1,nan,60000000.0,nan,8.0
Michael Bearden,1,nan,60000000.0,nan,8.0
Paul Gongaware,1,nan,60000000.0,nan,8.0
Sean Lynch,1,68275985.0,60000000.0,50.0,6.1
Anthony Anderson,8,301311636.0,209800000.0,301.0,43.8
Jerry O'Connell,3,105496857.0,95000000.0,84.0,15.3
Estella Warren,1,66934963.0,60000000.0,16.0,4.5
Craig Kilborn,1,61123569.0,60000000.0,43.0,4.4
Sinbad,1,60592389.0,60000000.0,34.0,5.7
Phil Hartman,2,90949182.0,99000000.0,81.0,11.5
Cobie Smulders,3,160710302.0,110000000.0,125.0,19.0
Kathleen Quinlan,4,175321230.0,173000000.0,228.0,26.6
Kodi Smit-McPhee,5,112341261.0,159750000.0,350.0,34.8
Sidney Poitier,2,nan,62000000.0,112.0,14.3
Stockard Channing,5,291886074.0,168000000.0,nan,31.2
Nick Frost,6,159453157.0,191000000.0,414.0,43.599999999999994
Jennifer Love Hewitt,6,257504613.0,209000000.0,239.0,33.6
Steven Seagal,6,nan,221000000.0,nan,29.800000000000004
Eric Bogosian,3,55048614.0,79500000.0,180.0,19.0
Everett McGill,3,nan,70000000.0,nan,18.0
Dominique Pinon,1,47795658.0,60000000.0,63.0,6.2
Rhona Mitra,2,58012352.0,93000000.0,104.0,13.0
Demi Lovato,1,45020282.0,60000000.0,40.0,6.0
Joe Manganiello,2,111033339.0,74500000.0,100.0,11.6
Claire Foy,4,92338010.0,144500000.0,218.0,25.199999999999996
Danny Huston,5,199975154.0,165500000.0,297.0,34.0
Tom Wilkinson,15,nan,336900000.0,903.0,100.9
Tony Kgoroge,1,37491364.0,60000000.0,74.0,7.3
Christopher Lloyd,12,832758944.0,379000000.0,nan,72.3
Jeff Daniels,9,285738817.0,299500000.0,455.0,55.0
Elizabeth Hurley,4,145579014.0,155000000.0,151.0,23.5
Kim Basinger,11,603034121.0,409000000.0,512.0,67.10000000000001
Penelope Ann Miller,4,192852564.0,142000000.0,200.0,23.3
Linda Hunt,3,185814956.0,121000000.0,178.0,19.6
Miko Hughes,1,32935289.0,60000000.0,37.0,6.1
Patrick Fugit,3,33392134.0,65500000.0,193.0,21.8
Micheál Neeson,1,32138862.0,60000000.0,57.0,6.2
Jamie Campbell Bower,2,31708521.0,65800000.0,99.0,12.8
Susanna Thompson,1,30323400.0,60000000.0,25.0,6.1
Joe Morton,3,49876671.0,102000000.0,nan,17.8
