,ProductionBudget,Director_Avg_Rating,OMDB_Runtime,ReleaseMonth,Writer_Avg_Rating,OMDB_imdbRating,orig_index,actual,predictions
4393,5000000,3.5,105.0,3.0,3.5,3.5,4464,3.5,3.368832
4394,5000000,5.85,94.0,12.0,6.5,4.5,4465,4.5,6.32609
4395,5000000,6.36,88.0,9.0,6.43,4.2,4466,4.2,6.436918
4396,5000000,4.7,97.0,6.0,4.7,4.7,4467,4.7,4.581374
4397,5000000,4.4,109.0,2.0,4.4,4.4,4468,4.4,4.2985954
4398,5000000,6.14,87.0,2.0,6.1,6.1,4469,6.1,6.0764623
4399,5000000,5.2,80.0,2.0,4.0,4.0,4470,4.0,4.4226856
4400,5000000,4.4,98.0,5.0,4.4,4.4,4471,4.4,4.2808914
4401,5000000,6.4,82.0,10.0,6.4,6.4,4472,6.4,6.4089165
4402,5000000,5.5,95.0,11.0,5.5,4.9,4473,4.9,5.425157
4403,5000000,6.0,67.0,8.0,5.9,6.0,4474,6.0,5.818578
4404,5000000,5.4,82.0,12.0,5.4,5.4,4475,5.4,5.2603855
4405,5000000,5.4,87.0,11.0,5.4,5.4,4476,5.4,5.2654676
4406,5000000,4.0,90.0,9.0,4.0,4.0,4478,4.0,3.8424945
4407,5000000,6.3,93.0,6.0,6.3,6.3,4479,6.3,6.3310857
4408,4900000,6.6,97.0,2.0,6.78,6.4,4481,6.4,6.8216887
4409,4900000,8.0,139.0,10.0,8.0,8.0,4482,8.0,8.28706
4410,4900000,7.2,99.0,12.0,7.2,7.2,4483,7.2,7.311596
4411,4900000,6.4,102.0,11.0,6.4,6.4,4484,6.4,6.4584312
4412,4900000,5.1,89.0,6.0,5.1,5.1,4485,5.1,4.997787
4413,4833610,6.9,135.0,3.0,8.0,8.0,4486,8.0,7.9325757
4414,4800000,5.89,94.0,1.0,5.43,5.9,4487,5.9,5.5732827
4415,4800000,6.52,90.0,5.0,6.2,5.7,4488,5.7,6.317242
4416,4750000,7.08,120.0,11.0,7.08,7.3,4489,7.3,7.240374
4417,4700000,6.36,101.0,8.0,5.8,5.6,4490,5.6,5.9909134
4418,4700000,6.5,113.0,4.0,6.5,6.5,4491,6.5,6.61728
4419,4700000,6.6,98.0,10.0,6.8,6.6,4492,6.6,6.8167634
4420,4700000,3.3,87.0,6.0,3.3,3.3,4493,3.3,3.152485
4421,4700000,6.0,92.0,3.0,5.68,6.0,4494,6.0,5.710514
4422,4600000,5.7,100.0,7.0,5.7,5.7,4495,5.7,5.6633334
4423,4600000,6.6,105.0,8.0,6.6,6.6,4496,6.6,6.6919236
4424,4600000,7.7,105.0,4.0,7.7,7.7,4497,7.7,7.892579
4425,4600000,6.9,95.0,10.0,6.72,6.9,4498,6.9,6.848913
4426,4600000,5.7,97.0,1.0,5.63,5.7,4499,5.7,5.610376
4427,4600000,7.1,103.0,10.0,7.1,7.1,4500,7.1,7.2205467
4428,4600000,4.6,119.0,7.0,4.6,4.5,4501,4.5,4.4602385
4429,4500000,5.92,96.0,3.0,5.98,6.7,4502,6.7,5.9370074
4430,4500000,6.9,117.0,4.0,7.05,7.1,4503,7.1,7.172177
4431,4500000,6.25,104.0,7.0,5.74,5.8,4504,5.8,5.9099526
4432,4500000,6.0,102.0,9.0,6.0,7.0,4505,7.0,6.0268126
4433,4500000,6.15,90.0,8.0,6.86,7.1,4506,7.1,6.6973414
4434,4500000,7.46,136.0,2.0,7.46,8.0,4507,8.0,7.7210736
4435,4500000,6.71,135.0,1.0,6.99,7.6,4508,7.6,7.120753
4436,4500000,7.59,97.0,10.0,7.6,7.6,4509,7.6,7.7416377
4437,4500000,7.3,119.0,10.0,7.1,7.1,4510,7.1,7.3291717
4438,4500000,6.88,109.0,10.0,6.93,7.3,4511,7.3,7.036131
4439,4500000,7.3,102.0,12.0,7.67,8.3,4512,8.3,7.7044516
4440,4500000,7.0,115.0,2.0,7.0,7.0,4513,7.0,7.1690135
4441,4500000,7.0,122.0,4.0,7.22,7.4,4514,7.4,7.3456674
4442,4500000,6.3,113.0,1.0,6.2,8.0,4515,8.0,6.303296
4443,4500000,6.4,101.0,2.0,6.7,6.7,4516,6.7,6.699665
4444,4500000,7.17,98.0,4.0,7.17,6.4,4517,6.4,7.301765
4445,4500000,6.5,102.0,7.0,6.5,6.5,4518,6.5,6.579213
4446,4500000,5.6,95.0,5.0,5.6,5.6,4519,5.6,5.509992
4447,4500000,5.9,104.0,12.0,5.9,5.9,4520,5.9,5.9208007
4448,4500000,6.4,99.0,12.0,6.34,6.4,4521,6.4,6.4029036
4449,4500000,6.7,116.0,3.0,6.2,6.2,4522,6.2,6.46752
4450,4500000,5.55,112.0,3.0,6.1,6.1,4523,6.1,5.9545226
4451,4500000,5.47,103.0,9.0,5.7,5.7,4524,5.7,5.598072
4452,4500000,5.6,98.0,4.0,5.6,5.6,4525,5.6,5.521089
4453,4500000,4.4,86.0,2.0,4.4,4.4,4526,4.4,4.3167334
4454,4500000,4.3,100.0,11.0,4.3,4.3,4527,4.3,4.132075
4455,4500000,5.8,112.0,8.0,5.8,5.8,4528,5.8,5.82604
4456,4500000,6.5,91.0,11.0,6.5,6.5,4529,6.5,6.537875
4457,4500000,6.5,90.0,6.0,6.5,6.5,4530,6.5,6.550797
4458,4357373,6.86,118.0,6.0,6.47,6.6,4531,6.6,6.721759
4459,4300000,7.3,101.0,8.0,7.5,7.5,4532,7.5,7.587325
4460,4300000,6.6,89.0,7.0,7.3,7.3,4533,7.3,7.176598
4461,4300000,7.1,133.0,12.0,7.1,7.1,4534,7.1,7.293385
4462,4200000,6.8,113.0,6.0,6.83,7.2,4536,7.2,6.9579525
4463,4200000,6.3,105.0,5.0,6.3,6.3,4537,6.3,6.370621
4464,4200000,5.62,98.0,1.0,5.2,5.5,4538,5.5,5.322253
4465,4030000,6.95,93.0,3.0,6.9,6.9,4539,6.9,7.0170937
4466,4000000,4.53,94.0,3.0,7.05,6.2,4540,6.2,6.276805
4467,4000000,6.71,112.0,2.0,6.68,7.2,4541,7.2,6.8258495
4468,4000000,6.8,102.0,10.0,6.8,7.7,4542,7.7,6.894346
4469,4000000,5.58,91.0,1.0,4.7,4.7,4543,4.7,5.012959
4470,4000000,6.45,111.0,2.0,6.29,7.5,4544,7.5,6.427089
4471,4000000,7.1,111.0,3.0,6.88,7.1,4545,7.1,7.0993357
4472,4000000,7.31,165.0,8.0,7.39,7.9,4546,7.9,7.6767893
4473,4000000,6.5,124.0,4.0,6.5,6.5,4547,6.5,6.6467443
4474,4000000,7.0,106.0,7.0,6.85,7.0,4548,7.0,7.0180755
4475,4000000,4.4,86.0,4.0,4.61,4.7,4549,4.7,4.42958
4476,4000000,6.5,102.0,6.0,6.5,6.5,4550,6.5,6.582727
4477,4000000,4.0,88.0,3.0,5.23,4.0,4551,4.0,4.633659
4478,4000000,7.3,91.0,8.0,7.3,7.3,4552,7.3,7.4117656
4479,4000000,6.79,94.0,11.0,6.53,7.2,4553,7.2,6.6650276
4480,4000000,6.88,93.0,9.0,6.72,6.9,4554,6.9,6.8406034
4481,4000000,7.2,109.0,11.0,7.3,7.4,4555,7.4,7.41647
4482,4000000,5.75,92.0,5.0,4.88,4.5,4556,4.5,5.160235
4483,4000000,6.85,96.0,7.0,6.85,6.6,4557,6.6,6.9419227
4484,4000000,4.75,93.0,11.0,5.72,4.8,4558,4.8,5.2535458
4485,4000000,4.75,82.0,3.0,5.72,4.7,4559,4.7,5.252458
4486,4000000,7.28,104.0,5.0,7.39,7.6,4560,7.6,7.5158854
4487,4000000,5.13,96.0,4.0,4.7,5.9,4561,5.9,4.7915616
4488,4000000,7.1,101.0,1.0,6.87,6.9,4562,6.9,7.0718064
4489,4000000,6.1,91.0,8.0,5.97,5.9,4563,5.9,5.9970202
4490,4000000,4.7,82.0,2.0,4.82,4.7,4564,4.7,4.702733
4491,4000000,6.3,39.0,12.0,6.3,6.3,4565,6.3,6.164279
4492,4000000,6.1,102.0,5.0,6.43,6.1,4566,6.1,6.39095
4493,4000000,6.5,110.0,10.0,6.37,6.6,4567,6.6,6.49411
4494,4000000,5.6,84.0,11.0,5.81,5.9,4568,5.9,5.6741734
4495,4000000,6.52,98.0,12.0,6.43,6.7,4569,6.7,6.5078745
