tconst,averagerating,numvotes
tt0120029,5.9,10222
tt0120030,7.4,44
tt0120032,6.3,51737
tt0120034,7.1,3505
tt0120035,4.9,48
tt0120036,7.2,8740
tt0120037,6.4,2340
tt0120039,4.0,849
tt0120042,6.8,1686
tt0120043,5.5,152
tt0120044,4.9,293
tt0120047,5.0,25
tt0120051,6.9,2578
tt0120053,6.2,71366
tt0120054,5.0,221
tt0120056,7.3,305
tt0120060,5.4,71
tt0120061,5.2,758
tt0120062,5.0,234
tt0120063,7.6,11
tt0120064,5.7,249
tt0120066,6.5,2769
tt0120067,5.6,49
tt0120070,7.2,11369
tt0120071,5.9,30
tt0120072,5.9,173
tt0120080,3.7,393
tt0120081,6.4,126
tt0120082,6.3,205265
tt0120083,3.9,17
tt0120084,4.4,49
tt0120087,4.5,1177
tt0120088,5.3,3349
tt0120090,7.0,2013
tt0120094,6.8,30933
tt0120095,4.7,282
tt0120100,5.6,1810
tt0120101,6.6,122
tt0120102,7.1,152464
tt0120105,5.8,45
tt0120107,4.9,5151
tt0120108,6.2,2310
tt0120112,5.9,8641
tt0120113,5.4,284
tt0120114,5.2,223
tt0120115,6.6,762
tt0120116,6.7,243
tt0120117,4.6,507
tt0120118,6.3,3672
tt0120120,6.6,696
tt0120121,5.0,714
tt0120122,6.6,7800
tt0120123,5.4,91
tt0120124,7.0,28
tt0120125,7.7,12583
tt0120126,7.5,1704
tt0120127,5.6,269
tt0120128,5.2,61
tt0120130,4.1,79
tt0120133,5.3,5770
tt0120134,6.2,50
tt0120142,5.6,6213
tt0120145,3.4,227
tt0120148,6.7,70534
tt0120149,4.2,196
tt0120150,6.0,88
tt0120151,4.8,1518
tt0120152,6.3,14968
tt0120156,3.6,402
tt0120157,6.0,58814
tt0120158,5.7,183
tt0120159,6.6,117
tt0120161,6.2,196
tt0120162,4.1,205
tt0120163,5.8,297
tt0120164,7.0,1147
tt0120166,4.2,669
tt0120167,4.8,253
tt0120168,6.5,29
tt0120169,7.0,8772
tt0120171,5.6,189
tt0120172,6.6,54
tt0120176,7.2,25461
tt0120177,5.2,71380
tt0120179,3.9,84816
tt0120184,6.1,110946
tt0120185,3.6,37385
tt0120186,5.4,2065
tt0120187,4.2,413
tt0120188,7.1,178308
tt0120189,5.7,356
tt0120190,5.0,1245
tt0120191,5.0,98
tt0120192,5.6,1067
tt0120194,3.2,10
tt0120195,6.7,177
tt0120196,4.8,192
tt0120197,5.6,1038
tt0120199,5.4,8415
tt0120201,7.3,311867
tt0120202,6.7,21901
tt0120203,5.2,35
tt0120204,6.4,31
tt0120205,7.4,99
tt0120207,3.0,14831
tt0120210,6.1,1139
tt0120211,6.5,3141
tt0120212,5.6,55
tt0120213,5.0,1354
tt0120214,1.6,2606
tt0120218,5.5,622
tt0120219,6.7,328
tt0120220,5.3,196
tt0120222,5.3,243
tt0120223,6.4,89
tt0120224,4.2,894
tt0120225,2.7,315
tt0120227,6.0,108
tt0120228,5.1,113
tt0120229,6.2,556
tt0120230,3.9,240
tt0120231,5.0,95
tt0120236,5.3,13
tt0120238,6.7,10286
tt0120241,6.9,28810
tt0120244,6.7,696
tt0120245,7.1,493
tt0120247,3.6,316
tt0120250,6.8,333
tt0120252,5.3,146
tt0120253,5.4,1466
tt0120255,7.5,36348
tt0120256,6.2,673
tt0120257,6.7,3571
tt0120258,4.8,91
tt0120259,6.4,142
tt0120261,6.1,800
tt0120262,7.2,105
tt0120263,7.5,19985
tt0120265,7.7,34970
tt0120266,7.3,65
tt0120267,7.1,49
tt0120269,6.6,51
tt0120271,5.8,891
tt0120273,6.8,19
tt0120274,7.0,3040
tt0120275,6.7,2452
tt0120277,6.4,228
tt0120300,5.5,48
tt0120303,6.2,2389
tt0120304,6.3,26
tt0120305,4.7,13
tt0120306,6.0,13
tt0120307,6.1,522
tt0120308,6.2,424
tt0120310,3.1,176
tt0120311,6.3,378
tt0120313,6.6,194
tt0120315,5.8,15
tt0120316,5.8,724
tt0120317,4.7,4775
tt0120318,6.1,4023
tt0120321,7.2,12378
tt0120323,6.1,5746
tt0120324,7.5,74583
tt0120328,7.5,62
tt0120329,6.7,1562
tt0120332,6.5,310
tt0120334,7.5,26
tt0120335,3.3,12
tt0120336,4.5,85
tt0120337,6.5,202
tt0120338,7.9,1252969
tt0120339,7.3,133
tt0120344,5.8,34
tt0120346,6.2,105
tt0120347,6.5,201999
tt0120351,7.5,43
tt0120352,6.2,131
tt0120353,4.5,938
tt0120354,6.7,389
tt0120355,4.9,16
tt0120356,4.3,500
tt0120357,5.6,2658
tt0120358,6.0,469
tt0120360,4.4,416
tt0120361,4.5,198
tt0120363,7.9,607809
tt0120364,5.5,209
tt0120366,6.1,2253
tt0120367,8.1,24
tt0120369,7.1,97
tt0120370,6.9,5016
tt0120371,7.3,621
tt0120372,7.1,809
tt0120373,5.8,7749
tt0120374,6.3,382
tt0120376,5.6,6529
tt0120378,7.7,706
tt0120379,4.9,172
tt0120381,5.1,1149
tt0120382,8.2,1156590
tt0120383,6.3,5128
tt0120385,6.2,127
tt0120387,7.4,14
tt0120389,3.6,9547
tt0120390,4.9,12439
tt0120391,7.0,2702
tt0120392,6.4,1168
tt0120393,5.8,957
tt0120394,6.7,6273
tt0120399,6.7,53993
tt0120401,6.0,3104
tt0120402,7.0,7471
tt0120404,5.1,1566
tt0120405,6.4,99
tt0120408,7.3,6278
tt0120409,5.6,114
tt0120410,6.1,623
tt0120412,4.7,211
tt0120413,5.2,381
tt0120414,4.7,779
tt0120415,7.8,12
tt0120416,4.8,782
tt0120417,5.6,223
tt0120422,5.6,951
tt0120423,5.4,653
tt0120424,5.5,139
tt0120427,5.6,184
tt0120431,4.5,167
tt0120434,5.9,52203
tt0120435,4.5,890
tt0120436,5.1,71
tt0120439,8.4,17
tt0120441,5.8,96
tt0120443,6.9,810
tt0120445,6.8,244
tt0120446,4.8,299
tt0120448,7.0,3439
tt0120449,7.4,7706
tt0120451,5.9,248
tt0120454,7.2,479
tt0120455,6.2,23
tt0120456,7.4,2856
tt0120458,5.0,29409
tt0120460,5.7,142
tt0120461,5.5,80304
tt0120466,7.1,110
tt0120467,5.2,4244
tt0120468,5.7,44
tt0120469,6.2,234
tt0120471,6.3,4788
tt0120472,7.9,3695
tt0120474,6.5,72
tt0120475,6.0,26
tt0120477,3.6,123
tt0120478,5.3,2994
tt0120479,4.7,3442
tt0120480,8.1,30
tt0120481,6.7,3591
tt0120483,6.6,33854
tt0120484,6.1,174385
tt0120485,6.2,63
tt0120488,4.5,162
tt0120489,6.5,65
tt0120490,6.7,7761
tt0120491,5.6,2051
tt0120493,6.1,437
tt0120494,6.7,1139
tt0120495,5.2,584
tt0120500,4.6,448
tt0120505,4.0,491
tt0120510,5.9,4476
tt0120512,6.3,7850
tt0120513,6.2,123
tt0120514,6.9,17907
tt0120520,7.1,12899
tt0120521,6.8,3701
tt0120522,7.2,4617
tt0120523,5.0,1404
tt0120524,5.8,24827
tt0120525,7.2,54
tt0120526,6.7,341
tt0120527,7.8,31
tt0120529,7.1,138
tt0120530,6.3,4182
tt0120531,4.2,2217
tt0120532,6.2,741
tt0120533,6.3,28055
tt0120534,5.5,716
tt0120535,5.9,23
tt0120536,6.7,3917
tt0120537,4.1,362
tt0120538,6.4,588
tt0120539,6.6,1950
tt0120540,6.7,13979
tt0120541,7.4,966
tt0120542,6.8,18
tt0120543,7.2,2161
tt0120545,6.3,259
tt0120546,6.7,46
tt0120547,7.3,944
tt0120550,5.3,3184
tt0120551,5.9,1819
tt0120552,4.9,44
tt0120553,4.3,22
tt0120554,4.5,297
tt0120560,4.0,12
tt0120562,3.8,51
tt0120563,5.4,27
tt0120564,5.2,136
tt0120565,6.2,693
tt0120566,8.8,43
tt0120576,5.9,6781
tt0120577,5.9,34210
tt0120579,5.6,521
tt0120584,6.7,3149
tt0120586,8.5,1165038
tt0120587,6.5,161675
tt0120588,6.6,579
tt0120589,7.2,211
tt0120591,6.7,443387
tt0120593,6.3,230
tt0120594,5.9,3556
tt0120595,5.8,34986
tt0120596,5.0,18819
tt0120598,3.2,3599
tt0120601,7.7,348637
tt0120603,6.0,9428
tt0120604,4.1,12393
tt0120606,7.6,18
tt0120607,4.9,79
tt0120608,5.7,412
tt0120609,6.0,31112
tt0120610,5.5,9797
tt0120611,7.1,292135
tt0120613,6.6,9083
tt0120616,7.1,451645
tt0120618,4.5,8189
tt0120619,5.0,2126
tt0120620,6.4,23769
tt0120622,3.4,497
tt0120623,7.2,308276
tt0120624,6.6,170
tt0120625,5.1,400
tt0120626,7.1,3270
tt0120627,3.1,2353
tt0120628,4.2,469
tt0120630,7.1,204074
tt0120631,7.1,80396
tt0120632,6.7,125897
tt0120633,6.6,30659
tt0120634,3.9,327
tt0120636,6.6,169
tt0120639,6.4,387
tt0120640,6.1,385
tt0120642,6.2,3115
tt0120643,6.3,3954
tt0120645,4.0,3130
tt0120646,6.3,18899
tt0120647,6.2,187055
tt0120648,4.7,43
tt0120651,5.6,237
tt0120654,6.4,29415
tt0120655,7.3,225529
tt0120657,6.6,130224
tt0120658,6.1,316
tt0120659,6.3,439
tt0120660,7.3,254882
tt0120662,5.0,15813
tt0120663,7.5,364476
tt0120665,7.0,936
tt0120667,5.7,339959
tt0120668,5.5,99
tt0120669,7.5,296771
tt0120670,4.8,4216
tt0120673,6.6,35
tt0120674,6.4,323
tt0120678,5.0,3119
tt0120679,7.3,93954
tt0120680,4.3,381
tt0120681,6.7,162220
tt0120683,5.1,6131
tt0120684,7.3,32441
tt0120685,5.4,199845
tt0120686,6.8,73102
tt0120687,6.2,3130
tt0120689,8.6,1371118
tt0120690,5.2,345
tt0120691,5.8,167
tt0120692,6.6,7497
tt0120693,6.6,66771
tt0120694,5.8,80840
tt0120696,5.9,36833
tt0120697,6.5,880
tt0120698,4.4,366
tt0120699,6.1,4533
tt0120701,4.9,20706
tt0120703,5.7,8125
tt0120706,7.2,9143
tt0120707,4.4,816
tt0120709,6.0,1713
tt0120710,5.5,13487
tt0120712,7.0,392
tt0120714,7.1,8687
tt0120716,6.5,17839
tt0120717,5.1,101
tt0120722,6.5,5009
tt0120723,5.5,5401
tt0120724,4.8,16099
tt0120725,5.1,6288
tt0120726,4.6,54
tt0120727,3.9,185
tt0120728,6.7,14140
tt0120730,7.6,22
tt0120731,8.0,68002
tt0120732,4.7,379
tt0120733,5.6,367
tt0120735,8.1,605739
tt0120737,8.8,1957462
tt0120738,5.2,74218
tt0120739,5.2,330
tt0120740,5.3,17
tt0120741,5.5,15833
tt0120742,4.7,8015
tt0120744,6.5,175868
tt0120746,6.8,194266
tt0120747,6.4,4702
tt0120748,5.3,208
tt0120749,6.1,76795
tt0120751,5.7,30349
tt0120753,5.7,22221
tt0120754,5.1,650
tt0120755,6.1,370077
tt0120757,4.3,9384
tt0120760,3.6,80
tt0120762,7.7,307825
tt0120763,7.2,644
tt0120764,5.1,14234
tt0120765,5.0,7113
tt0120766,5.0,511
tt0120767,5.1,816
tt0120768,7.3,151905
tt0120769,6.1,12165
tt0120770,6.2,63339
tt0120771,6.4,287
tt0120772,6.0,21179
tt0120773,6.4,10544
tt0120775,6.0,1327
tt0120776,6.9,12554
tt0120777,6.4,21621
tt0120778,4.6,184
tt0120779,5.1,257
tt0120780,7.0,97310
tt0120782,6.1,8280
tt0120783,6.6,150159
tt0120784,7.1,142969
tt0120785,6.3,230
tt0120786,4.2,13134
tt0120787,6.6,90469
tt0120788,6.2,7828
tt0120789,7.5,134490
tt0120790,7.0,1218
tt0120791,6.3,91257
tt0120793,6.5,2915
tt0120794,7.2,142064
tt0120797,6.0,30199
tt0120798,5.5,121
tt0120799,6.4,150
tt0120800,6.2,17671
tt0120802,7.6,34154
tt0120804,6.6,283188
tt0120807,4.8,324
tt0120809,6.6,198
tt0120812,7.0,287349
tt0120813,5.8,3500
tt0120815,8.6,1460301
tt0120820,6.0,17444
tt0120822,3.9,550
tt0120823,6.5,5311
tt0120824,6.7,33686
tt0120825,5.6,14
tt0120828,5.9,82076
tt0120829,6.2,388
tt0120831,6.7,14376
tt0120832,6.1,85383
tt0120833,6.7,113
tt0120834,6.7,14460
tt0120835,6.8,2470
tt0120836,5.1,6818
tt0120837,6.0,138
tt0120838,5.7,3022
tt0120841,4.5,30804
tt0120843,7.1,10
tt0120844,6.4,78415
tt0120848,7.2,486
tt0120851,4.3,1917
tt0120852,6.4,277
tt0120854,5.8,69
tt0120855,7.3,241392
tt0120856,4.0,2329
tt0120857,6.9,14019
tt0120859,4.4,811
tt0120861,6.6,2708
tt0120863,7.6,196351
tt0120865,6.9,1812
tt0120866,7.1,21235
tt0120867,6.5,2013
tt0120868,6.8,13288
tt0120870,5.2,62
tt0120871,4.1,507
tt0120872,6.6,361
tt0120873,6.5,111471
tt0120875,6.1,311
tt0120876,5.4,420
tt0120877,6.1,62784
tt0120878,4.8,1862
tt0120879,6.9,37662
tt0120880,5.4,170
tt0120881,6.2,10
tt0120882,6.1,12986
tt0120883,6.0,178
tt0120884,6.4,466
tt0120885,7.1,87352
tt0120888,6.9,159143
tt0120889,7.0,112827
tt0120890,6.6,127746
tt0120891,4.9,165578
tt0120894,6.2,6097
tt0120896,4.4,83
tt0120899,6.5,3120
tt0120900,5.6,325
tt0120901,6.0,28460
tt0120902,7.0,108913
tt0120903,7.3,636271
tt0120906,6.9,15082
tt0120907,6.8,105288
tt0120910,7.1,40676
tt0120912,6.2,395435
tt0120913,6.6,63257
tt0120915,6.5,840187
tt0120917,7.4,219291
tt0121051,6.7,421
tt0121057,4.1,19
tt0121058,8.2,18
tt0121063,8.0,57
tt0121067,5.2,166
tt0121074,4.6,73
tt0121079,8.3,13
tt0121092,7.0,14
tt0121093,5.0,56
tt0121095,4.2,56
tt0121097,5.6,34
tt0121098,7.1,20
tt0121103,5.9,132
tt0121108,6.5,22
tt0121116,5.7,94
tt0121118,7.3,524
tt0121124,5.5,26
tt0121126,7.7,710
tt0121128,5.4,12
tt0121130,6.5,40
tt0121131,7.3,15
tt0121144,4.8,16
tt0121146,5.9,9
tt0121148,6.1,30
tt0121152,2.8,508
tt0121153,5.4,12
tt0121164,7.4,293021
tt0121179,5.2,15
tt0121181,6.5,32
tt0121193,6.6,144
tt0121194,5.6,19
tt0121205,4.5,21
tt0121207,6.6,21
tt0121208,4.7,9
tt0121209,5.0,15
tt0121211,4.8,30
tt0121213,6.1,39
tt0121218,6.5,119
tt0121224,5.2,7
tt0121228,3.7,17
tt0121232,5.1,319
tt0121233,5.2,21
tt0121234,6.7,14
tt0121240,8.1,58
tt0121257,6.0,42
tt0121259,7.1,166
tt0121260,6.4,51
tt0121261,3.1,1567
tt0121262,3.4,1311
tt0121263,6.6,17
tt0121265,4.8,24
tt0121267,6.2,9
tt0121269,7.1,30
tt0121273,5.3,17
tt0121275,6.5,40
tt0121278,7.3,63
tt0121280,5.7,12
tt0121283,6.2,102
tt0121287,6.8,60
tt0121292,7.6,84
tt0121297,3.4,187
tt0121301,5.9,25
tt0121302,5.3,143
tt0121309,2.8,14
tt0121313,3.7,26
tt0121314,7.1,191
tt0121320,5.1,18
tt0121325,6.9,34
tt0121326,4.5,76
tt0121337,5.5,14
tt0121338,5.7,72
tt0121348,5.9,53
tt0121352,6.2,747
tt0121354,5.2,10
tt0121355,4.5,12
tt0121358,6.2,29
tt0121363,7.0,20
tt0121375,4.9,20
tt0121376,5.1,7
tt0121378,5.6,9
tt0121381,5.3,23
tt0121383,6.6,17
tt0121386,3.7,21
tt0121387,7.7,871
tt0121395,5.4,401
tt0121401,7.1,263
tt0121407,7.5,9
tt0121412,5.8,12
tt0121416,4.1,27
tt0121418,5.2,30
tt0121419,5.7,173
tt0121422,6.3,7
tt0121423,6.8,12
tt0121427,7.6,13
tt0121428,7.5,21
tt0121434,5.2,29
tt0121442,6.2,2356
tt0121452,3.7,9
tt0121460,5.7,21
tt0121462,5.7,23
tt0121463,4.6,22
tt0121468,7.3,7
tt0121469,5.2,150
tt0121473,5.6,12
tt0121483,4.9,20
tt0121486,5.4,18
tt0121488,5.9,38
tt0121490,6.7,68
tt0121496,6.5,74
tt0121507,6.6,16
tt0121514,6.9,55
tt0121517,5.3,67
tt0121522,4.5,6
tt0121533,6.3,155
tt0121534,5.8,52
tt0121536,6.4,53
tt0121540,3.5,15
tt0121541,5.8,15
tt0121545,6.8,25
tt0121546,4.0,72
tt0121550,5.7,21
tt0121556,5.2,434
tt0121566,4.3,99
tt0121567,6.5,13
tt0121580,4.5,33
tt0121585,7.0,14
tt0121586,6.0,6
tt0121595,5.6,33
tt0121604,6.0,10
tt0121617,3.0,6
tt0121621,5.9,46
tt0121639,5.0,11
tt0121645,7.2,105
tt0121647,5.3,109
tt0121650,5.8,26
tt0121654,4.3,750
tt0121659,6.4,90
tt0121673,7.6,32
tt0121674,5.8,5
tt0121686,5.6,10
tt0121690,6.1,13
tt0121694,3.4,1457
tt0121702,6.6,56
tt0121711,6.7,23
tt0121716,5.2,15
tt0121725,5.0,39
tt0121735,5.8,13
tt0121739,7.7,110
tt0121744,5.4,505
tt0121750,5.0,7
tt0121754,6.0,7
tt0121755,7.0,321
tt0121757,7.6,540
tt0121762,6.1,15
tt0121765,6.6,743954
tt0121766,7.6,828723
tt0121784,5.4,10
tt0121787,6.5,248
tt0121790,4.8,14
tt0121798,7.4,17
tt0121807,7.8,6
tt0121811,7.4,8
tt0121812,5.9,19
tt0121820,6.5,65
tt0121824,4.9,14
tt0121831,3.9,12
tt0121858,6.5,20
tt0121859,5.9,19
tt0121864,3.2,356
tt0121867,5.2,8
tt0121872,6.3,8
tt0121877,6.3,69
tt0121878,5.1,23
tt0121886,5.5,9
tt0121891,6.6,16
tt0121892,6.7,7
tt0121894,6.3,30
tt0121898,5.1,245
tt0121899,4.9,121
tt0121900,3.7,17
tt0121906,6.0,107
tt0121907,5.4,29
tt0121911,5.3,13
tt0121912,4.0,21
tt0121916,5.1,61
tt0121918,4.7,49
tt0121919,6.7,8
tt0121922,5.5,391
tt0121926,7.5,16
tt0121973,6.7,366
tt0121974,3.1,684
tt0121976,6.2,107
tt0121978,4.4,85
tt0121984,5.9,8
tt0121989,6.4,2539
tt0121991,6.7,193
tt0121996,2.5,12
tt0122001,2.7,11
tt0122002,4.6,12
tt0122004,5.4,10
tt0122008,4.0,173
tt0122010,6.5,35
tt0122011,3.2,15
tt0122012,6.5,121
tt0122013,5.3,187
tt0122025,3.9,112
tt0122028,6.1,58
tt0122033,3.7,38
tt0122035,2.9,15
tt0122037,5.3,2846
tt0122039,6.2,22
tt0122040,5.8,17
tt0122047,5.8,9
tt0122050,4.2,1259
tt0122061,4.5,18
tt0122064,3.4,47
tt0122066,5.0,45
tt0122067,5.1,39
tt0122068,5.5,8
tt0122070,3.9,1509
tt0122076,5.1,234
tt0122082,7.6,8217
tt0122088,6.0,135
tt0122091,5.5,144
tt0122093,5.6,13
tt0122096,6.4,7
tt0122097,5.1,17
tt0122102,3.5,11
tt0122103,6.1,41
tt0122106,6.3,28
tt0122113,4.4,83
tt0122115,7.5,8
tt0122117,5.6,75
tt0122123,6.9,13
tt0122124,5.0,274
tt0122125,6.3,80
tt0122132,4.9,296
tt0122133,6.3,95
tt0122143,5.2,6058
tt0122145,3.6,146
tt0122146,6.9,130
tt0122151,6.6,169832
tt0122161,4.9,441
tt0122164,7.2,90
tt0122173,5.0,83
tt0122181,5.1,14
tt0122182,5.2,74
tt0122186,7.4,1204
tt0122187,6.4,292
tt0122191,4.8,12
tt0122194,5.5,393
tt0122197,7.4,31
tt0122199,4.1,116
tt0122221,5.7,36
tt0122227,8.2,4111
tt0122233,6.6,150
tt0122234,8.2,3262
tt0122238,4.7,26
tt0122241,6.6,59
tt0122246,7.6,71
tt0122247,5.2,790
tt0122286,6.9,120
tt0122289,5.2,17
tt0122294,7.3,71
tt0122299,5.1,24
tt0122300,4.5,11
tt0122301,8.4,24
tt0122304,6.1,16
tt0122307,4.6,49
tt0122308,8.1,21
tt0122309,4.8,46
tt0122310,5.9,12
tt0122317,6.8,101
tt0122318,6.2,131
tt0122319,4.3,11
tt0122325,6.3,92
tt0122370,5.1,10
tt0122385,6.7,363
tt0122387,6.8,384
tt0122393,7.1,775
tt0122400,7.3,80
tt0122409,5.9,98
tt0122417,5.1,345
tt0122418,6.3,180
tt0122421,3.2,118
tt0122427,6.8,1808
tt0122428,5.0,8
tt0122436,5.7,201
tt0122450,6.5,87
tt0122452,5.0,185
tt0122453,8.7,23
tt0122459,6.9,22230
tt0122460,6.7,46
tt0122471,6.9,248
tt0122473,3.5,224
tt0122480,6.6,498
tt0122484,5.2,77
tt0122486,6.6,243
tt0122487,5.2,209
tt0122488,6.1,85
tt0122494,6.5,579
tt0122511,6.2,61
tt0122512,5.2,86
tt0122515,6.2,7971
tt0122523,6.7,67
tt0122529,7.1,7658
tt0122538,3.2,125
tt0122539,4.7,11
tt0122541,6.8,16535
tt0122545,3.8,50
tt0122553,5.7,274
tt0122555,5.0,131
tt0122558,5.7,29
tt0122563,6.2,105
tt0122570,8.5,16
tt0122573,6.2,1354
tt0122576,5.1,40
tt0122578,6.5,151
tt0122583,6.0,25
tt0122591,6.9,711
tt0122593,8.0,11
tt0122594,4.9,34
tt0122602,6.8,56
tt0122609,6.1,77
tt0122614,4.9,17
tt0122618,5.4,205
tt0122625,6.3,84
tt0122631,7.1,85
tt0122632,7.1,34
tt0122642,5.1,1299
tt0122643,5.6,23
tt0122648,7.3,3835
tt0122652,6.9,132
tt0122655,3.4,114
tt0122657,6.4,203
tt0122676,6.0,8
tt0122677,6.1,24
tt0122678,6.9,214
tt0122680,3.7,8
tt0122689,7.6,2202
tt0122690,7.2,191607
tt0122693,6.6,76
tt0122699,6.5,29
tt0122700,7.4,86
tt0122701,6.0,764
tt0122703,6.4,141
tt0122707,5.7,10
tt0122708,6.6,145
tt0122709,7.3,70
tt0122710,5.9,246
tt0122713,7.2,22
tt0122714,7.8,11
tt0122718,6.2,104155
tt0122728,7.0,235
tt0122732,3.6,132
tt0122734,7.1,111
tt0122735,7.2,1888
tt0122738,6.1,58
tt0122739,6.7,9
tt0122740,6.5,1049
tt0122741,3.7,30
tt0122743,4.7,847
tt0122751,6.3,110
tt0122756,3.8,20
tt0122757,3.2,83
tt0122759,6.1,99
tt0122767,7.4,42
tt0122768,5.9,3907
tt0122772,5.7,117
tt0122785,5.0,607
tt0122787,4.2,427
tt0122800,4.7,226
tt0122804,6.0,222
tt0122852,7.0,51
tt0122857,6.2,31
tt0122864,5.8,32
tt0122876,3.7,15
tt0122878,6.8,115
tt0122880,5.8,61
tt0122884,6.7,18
tt0122889,6.1,223
tt0122893,5.5,140
tt0122902,4.0,27
tt0122903,6.8,76
tt0122906,5.9,969
tt0122933,6.7,159781
tt0122936,4.0,6
tt0122938,5.9,179
tt0122940,6.2,138
tt0122946,5.1,412
tt0122948,6.8,164
tt0122953,6.3,194
tt0122955,4.4,19
tt0122956,6.1,60
tt0122961,3.8,3130
tt0122968,2.8,212
tt0122990,7.8,60
tt0122994,6.9,156
tt0122997,6.9,20
tt0123001,6.5,100
tt0123003,6.0,1581
tt0123013,7.1,135
tt0123015,6.1,14
tt0123021,5.8,9
tt0123034,5.8,6263
tt0123043,7.5,13
tt0123046,6.3,1210
tt0123051,6.6,49
tt0123055,3.8,143
tt0123056,7.0,90
tt0123059,5.8,275
tt0123060,3.8,39
tt0123067,4.4,25
tt0123069,6.5,11
tt0123071,6.6,58
tt0123072,4.9,44
tt0123075,6.8,44
tt0123078,6.2,260
tt0123089,6.8,16
tt0123092,7.0,3798
tt0123094,6.3,25
tt0123097,7.4,30
tt0123102,6.7,940
tt0123103,8.9,45
tt0123113,6.1,47
tt0123114,6.0,334
tt0123115,5.8,21
tt0123120,6.2,111
tt0123138,5.5,65
tt0123148,4.4,31
tt0123149,4.3,213
tt0123153,6.4,471
tt0123159,6.8,16
tt0123160,7.1,76
tt0123166,5.9,38
tt0123167,7.2,38
tt0123172,4.3,264
tt0123174,5.5,66
tt0123177,6.0,27
tt0123181,7.9,48
tt0123189,8.2,14
tt0123194,6.7,87
tt0123200,5.9,92
tt0123209,6.4,12917
tt0123211,7.1,179
tt0123215,5.0,1059
tt0123217,6.8,68
tt0123219,5.4,32
tt0123221,5.6,2008
tt0123225,7.6,25
tt0123231,5.2,41
tt0123234,5.1,21
tt0123237,6.1,63
tt0123240,6.9,201
tt0123242,6.1,45
tt0123248,5.5,87
tt0123249,5.3,10
tt0123251,5.4,71
tt0123253,6.5,16
tt0123260,4.3,67
tt0123271,5.5,242
tt0123281,8.0,12
tt0123284,7.0,11
tt0123292,4.2,69
tt0123295,6.3,11
tt0123296,5.4,22
tt0123302,6.8,302
tt0123311,5.4,115
tt0123320,7.6,126
tt0123324,6.3,4460
tt0123328,7.5,2906
tt0123329,6.4,53
tt0123331,6.4,26
tt0123370,7.1,31
tt0123371,4.6,1024
tt0123376,6.5,576
tt0123378,5.8,224
tt0123381,6.4,575
tt0123385,6.7,2187
tt0123388,5.6,119
tt0123393,5.7,262
tt0123411,5.7,206
tt0123419,4.6,112
tt0123437,6.6,70
tt0123443,6.0,151
tt0123448,5.9,124
tt0123450,7.3,541
tt0123455,5.4,77
tt0123474,8.4,40
tt0123521,6.0,216
tt0123522,7.4,82
tt0123531,5.4,266
tt0123535,7.1,65
tt0123537,6.5,32
tt0123539,6.3,77
tt0123540,5.7,60
tt0123550,4.3,10
tt0123553,6.1,148
tt0123556,3.8,15
tt0123563,6.6,33
tt0123570,6.3,69
tt0123573,4.7,27
tt0123574,6.3,236
tt0123581,5.0,76
tt0123619,5.3,73
tt0123624,5.6,32
tt0123630,7.2,8
tt0123631,5.4,13
tt0123647,5.8,9
tt0123648,4.5,220
tt0123655,5.7,129
tt0123656,5.1,15
tt0123669,6.6,66
tt0123675,7.3,138
tt0123685,4.5,186
tt0123692,5.6,39
tt0123707,6.3,234
tt0123726,5.0,525
tt0123730,8.1,226
tt0123747,2.2,21
tt0123755,7.1,243606
tt0123756,7.5,190
tt0123768,6.2,69
tt0123778,5.1,41
tt0123788,3.0,20
tt0123789,6.7,55
tt0123793,4.2,14
tt0123795,7.4,8
tt0123796,4.9,48
tt0123797,7.2,9
tt0123802,6.7,501
tt0123807,6.2,24
tt0123808,4.8,510
tt0123811,4.3,61
tt0123817,6.7,60
tt0123819,8.0,20
tt0123825,3.9,110
tt0123827,6.5,150
tt0123832,4.8,1168
tt0123833,6.2,419
tt0123841,5.4,73
tt0123842,3.4,31
tt0123850,6.8,122
tt0123854,7.4,6
tt0123855,5.6,61
tt0123868,7.7,95
tt0123877,6.5,33
tt0123878,6.2,91
tt0123880,6.5,65
tt0123889,7.0,556
tt0123890,5.4,337
tt0123892,6.5,222
tt0123896,6.1,34
tt0123904,7.3,280
tt0123914,7.0,31
tt0123915,3.3,624
tt0123919,7.6,88
tt0123920,6.5,165
tt0123923,6.4,778
tt0123931,6.8,150
tt0123935,7.0,174
tt0123937,5.1,13
tt0123940,7.7,10
tt0123947,7.0,35
tt0123948,7.5,20751
tt0123952,6.6,683
tt0123953,5.1,74
tt0123956,4.9,144
tt0123960,6.7,37
tt0123963,5.0,53
tt0123964,6.8,53756
tt0123965,6.8,68
tt0123967,3.2,26
tt0123973,7.0,48
tt0123974,6.7,54
tt0123975,5.2,347
tt0123976,7.8,3584
tt0123977,3.8,299
tt0123978,4.5,81
tt0123982,5.8,196
tt0123983,4.3,276
tt0123984,6.6,20
tt0123987,6.0,7917
tt0123990,6.7,30
tt0123992,5.8,11
tt0123995,7.3,32
tt0124006,4.3,162
tt0124007,7.4,9
tt0124011,7.1,25
tt0124014,5.2,5965
tt0124028,8.4,42
tt0124029,6.7,43
tt0124035,7.5,625
tt0124038,5.1,242
tt0124048,6.7,587
