tconst,averagerating,numvotes
tt0080421,5.5,9900
tt0080425,5.1,33
tt0080427,5.3,228
tt0080428,7.1,96
tt0080430,6.8,183
tt0080431,4.1,983
tt0080432,6.4,194
tt0080433,5.4,102
tt0080434,6.8,68
tt0080435,7.1,144
tt0080436,5.7,5700
tt0080437,7.1,21027
tt0080438,4.0,756
tt0080439,7.6,9270
tt0080440,5.8,4141
tt0080441,3.8,55
tt0080442,6.2,764
tt0080445,4.2,32
tt0080446,6.0,33
tt0080447,6.9,154
tt0080448,3.9,1114
tt0080450,5.1,168
tt0080451,6.1,49
tt0080452,3.7,24
tt0080453,5.8,74990
tt0080454,6.8,48
tt0080455,7.9,209617
tt0080459,5.8,11
tt0080460,5.4,206
tt0080461,7.1,3456
tt0080463,6.1,21
tt0080464,4.6,4949
tt0080465,6.0,2296
tt0080466,7.4,8
tt0080469,6.8,1480
tt0080470,5.3,54
tt0080472,6.1,12503
tt0080473,5.9,35
tt0080474,7.1,19088
tt0080475,5.6,124
tt0080478,5.6,63
tt0080480,7.3,388
tt0080481,5.0,41
tt0080482,7.4,1902
tt0080483,6.3,21
tt0080484,6.8,38
tt0080485,5.3,1297
tt0080486,3.5,1563
tt0080487,7.2,124753
tt0080488,7.0,702
tt0080489,5.8,2190
tt0080490,4.4,143
tt0080492,4.2,4418
tt0080493,4.6,32
tt0080494,7.7,433
tt0080495,5.4,20
tt0080498,4.7,15
tt0080499,5.7,460
tt0080500,6.4,2370
tt0080501,3.9,148
tt0080502,5.2,20
tt0080503,5.7,5790
tt0080504,6.0,72
tt0080506,3.8,693
tt0080508,5.9,150
tt0080509,5.7,168
tt0080510,4.1,10
tt0080511,7.0,31
tt0080512,6.4,152
tt0080513,5.4,1138
tt0080514,7.1,184
tt0080515,5.2,1103
tt0080516,7.2,38874
tt0080518,6.7,122
tt0080519,4.8,180
tt0080520,6.0,14728
tt0080521,4.8,46
tt0080523,4.8,61
tt0080525,7.1,9
tt0080527,5.4,2559
tt0080529,6.7,143
tt0080530,5.8,3019
tt0080531,6.5,145
tt0080535,7.2,17
tt0080536,5.7,679
tt0080537,6.7,47
tt0080538,5.8,205
tt0080539,6.9,7926
tt0080541,5.7,486
tt0080542,5.8,18
tt0080543,3.7,129
tt0080545,5.1,227
tt0080546,6.9,1108
tt0080547,6.9,203
tt0080549,7.5,20010
tt0080550,5.1,467
tt0080551,4.5,16
tt0080552,5.9,150
tt0080553,6.0,321
tt0080554,6.5,647
tt0080555,4.0,163
tt0080556,6.7,2800
tt0080560,6.6,51
tt0080561,7.1,1081
tt0080562,4.7,56
tt0080563,6.3,104
tt0080565,6.6,3018
tt0080569,6.5,27089
tt0080571,7.4,84
tt0080574,6.7,9
tt0080575,4.0,19
tt0080576,6.2,24
tt0080577,7.0,239
tt0080579,4.6,13
tt0080580,3.8,224
tt0080581,7.0,25
tt0080583,4.2,17
tt0080584,5.3,29
tt0080585,5.7,38
tt0080586,6.4,24
tt0080591,6.6,196
tt0080594,7.8,1152
tt0080599,5.6,42
tt0080603,4.8,5504
tt0080604,5.9,61
tt0080605,6.1,1317
tt0080606,6.1,404
tt0080607,4.3,274
tt0080608,5.7,22
tt0080609,7.3,31
tt0080610,7.3,15403
tt0080611,7.4,57
tt0080612,6.6,41
tt0080614,5.0,14
tt0080616,7.2,821
tt0080617,5.7,59
tt0080619,6.1,35
tt0080621,6.0,161
tt0080627,4.7,323
tt0080628,6.1,21
tt0080630,4.7,151
tt0080631,5.5,17
tt0080633,4.8,77
tt0080634,7.0,935
tt0080635,5.0,46
tt0080636,6.5,995
tt0080638,6.8,1068
tt0080640,5.8,26
tt0080641,6.3,9096
tt0080642,4.6,153
tt0080644,6.0,12
tt0080645,4.8,2104
tt0080649,7.1,178
tt0080650,3.1,20
tt0080651,4.9,42
tt0080652,7.3,1402
tt0080653,6.4,1078
tt0080654,4.8,319
tt0080656,4.0,173
tt0080657,4.3,10
tt0080658,3.9,708
tt0080660,4.5,154
tt0080661,7.1,46488
