,runtimeMinutes,averageRating,OMDB_Metascore,ProductionBudget,genres,User_rating,orig_index,actual,predictions
190,180,8.5,88.0,100000000.0,Drama,9.0,113954,9.0,8.733333333333333
191,117,6.4,33.0,80000000.0,Comedy,6.7,115632,6.7,6.859999999999996
192,130,7.3,66.0,125000000.0,Thriller,7.5,117661,7.5,7.617333333333335
193,192,7.6,67.0,460000000.0,Action,8.5,119253,8.5,8.257333333333333
194,113,7.9,71.0,178000000.0,Action,8.7,119376,8.7,8.546666666666663
195,115,7.2,50.0,75000000.0,Thriller,7.5,121011,7.5,7.470666666666667
196,115,5.5,52.0,136200000.0,Drama,7.8,121160,7.8,6.853333333333336
197,127,6.1,57.0,170000000.0,Drama,6.5,123726,6.5,6.572
198,130,8.3,78.0,170000000.0,Drama,9.4,124103,9.4,9.057333333333325
199,101,7.7,72.0,165000000.0,Comedy,8.6,125147,8.6,8.581333333333331
200,134,7.3,88.0,200000000.0,Action,9.3,127195,9.3,8.748
201,136,7.8,70.0,170000000.0,Action,8.2,128239,8.2,8.424000000000001
202,165,8.5,81.0,100000000.0,Western,8.6,128607,8.6,8.478666666666676
203,164,8.0,81.0,185000000.0,Drama,8.8,128743,8.8,8.83333333333333
204,96,6.4,58.0,135000000.0,Comedy,8.5,128910,8.5,8.226666666666667
205,142,6.6,53.0,200000000.0,Action,5.2,129355,5.2,6.218666666666663
206,176,7.8,72.0,200000000.0,Drama,8.7,129534,8.7,8.685333333333334
207,132,7.9,75.0,200000000.0,Action,8.6,129535,8.6,8.672000000000004
208,92,6.6,53.0,132000000.0,Action,7.2,130382,7.2,7.794666666666665
209,146,7.5,76.0,130000000.0,Action,8.4,131654,8.4,8.397333333333336
210,123,6.6,64.0,125000000.0,Action,7.2,131655,7.2,7.314666666666664
211,137,6.5,65.0,160000000.0,Action,7.5,131656,7.5,7.6759999999999975
212,93,6.7,66.0,187500000.0,Comedy,6.9,132555,6.9,7.159999999999992
213,112,6.8,54.0,150000000.0,Action,7.1,132664,7.1,7.352000000000006
214,121,8.0,76.0,170000000.0,Comedy,8.9,133843,8.9,8.889333333333324
215,114,6.1,43.0,110000000.0,Thriller,7.3,138148,7.3,7.114666666666672
216,102,7.8,74.0,165000000.0,Action,8.8,142927,8.8,8.658666666666662
217,133,7.4,73.0,175000000.0,Action,8.7,143260,8.7,8.604000000000001
218,97,7.2,77.0,200000000.0,Comedy,8.0,144125,8.0,7.901333333333331
219,119,6.9,58.0,90000000.0,Comedy,7.9,144347,7.9,7.869333333333326
220,131,6.3,52.0,150000000.0,Thriller,7.3,146208,7.3,7.440000000000001
221,148,6.8,60.0,245000000.0,Thriller,7.5,147804,7.5,7.3133333333333335
222,131,7.4,75.0,150000000.0,Thriller,8.3,147893,8.3,8.329333333333334
223,141,7.3,66.0,365000000.0,Action,7.0,148429,7.0,7.363999999999999
224,127,5.4,25.0,140000000.0,Drama,4.0,148802,4.0,6.297333333333333
225,129,7.7,60.0,94000000.0,Comedy,8.4,157357,8.4,8.362666666666657
226,134,7.3,72.0,150000000.0,Comedy,8.5,159347,8.5,8.401333333333334
227,119,6.2,42.0,110000000.0,Action,7.2,159376,7.2,6.980000000000003
228,108,8.0,78.0,150000000.0,Comedy,9.0,160090,9.0,8.915999999999997
229,151,6.5,44.0,263000000.0,Action,7.0,160589,7.0,6.756
230,132,7.2,66.0,180000000.0,Action,7.9,163379,7.9,7.813333333333323
231,144,6.9,52.0,178000000.0,Action,7.1,166035,7.1,7.340000000000009
232,147,7.8,75.0,250000000.0,Action,8.5,167588,8.5,8.714666666666666
233,130,7.9,74.0,180000000.0,Comedy,9.0,167639,9.0,8.886666666666665
234,107,7.6,81.0,150000000.0,Comedy,8.6,167942,8.6,8.51333333333334
235,156,7.2,85.0,100000000.0,Drama,8.6,168791,8.6,8.445333333333343
236,118,7.6,80.0,200000000.0,Action,7.6,169113,7.6,7.914666666666674
237,144,8.0,80.0,108000000.0,Drama,9.3,169693,9.3,8.874666666666666
238,133,7.8,65.0,200000000.0,Action,9.4,170962,9.4,9.023999999999992
239,135,6.9,62.0,275000000.0,Action,7.5,171324,7.5,7.517333333333332
240,97,6.3,50.0,125000000.0,Comedy,6.8,172483,6.8,7.102666666666672
241,136,7.6,67.0,200000000.0,Comedy,8.5,172767,8.5,8.48133333333333
242,102,7.8,73.0,200000000.0,Comedy,8.9,173015,8.9,8.817333333333325
243,102,7.8,73.0,90000000.0,Comedy,8.8,173016,8.8,8.675999999999998
244,123,6.8,64.0,175000000.0,Action,7.6,175530,7.6,7.619999999999998
245,149,8.4,68.0,300000000.0,Action,8.0,175533,8.0,8.270666666666667
246,181,8.4,78.0,400000000.0,Drama,8.0,175534,8.0,8.217333333333334
247,103,6.8,64.0,150000000.0,Comedy,8.0,179325,8.0,7.829333333333337
248,141,6.7,44.0,104000000.0,Comedy,7.5,180602,7.5,7.605333333333334
249,128,6.1,51.0,170000000.0,Action,6.6,182817,6.6,6.600000000000005
250,147,7.7,86.0,178000000.0,Thriller,9.1,183133,9.1,8.568000000000001
251,106,7.8,94.0,150000000.0,Drama,8.5,184142,8.5,8.521333333333333
