Director,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
Aaron Blaise,1,85336277.0,46000000.0,48.0,6.8
Robert Walker,1,85336277.0,46000000.0,48.0,6.8
Josh Greenbaum,1,23988885.0,46000000.0,nan,6.3
Terence Young,4,109660444.0,58000000.0,nan,24.2
David Zucker,7,425677370.0,165500000.0,278.0,37.4
Trish Sie,1,104897530.0,45000000.0,40.0,5.8
Tate Taylor,4,321702275.0,105000000.0,234.0,27.1
Thomas Carter,3,188449846.0,73000000.0,151.0,20.099999999999998
Roger Michell,4,217267369.0,133000000.0,276.0,27.299999999999997
Luis Llosa,2,123248349.0,90000000.0,nan,10.5
Marielle Heller,3,71984922.0,57000000.0,254.0,21.1
Melville Shavelson,1,nan,45000000.0,nan,7.1
Noah Baumbach,5,nan,77500000.0,410.0,35.6
Russell Mulcahy,5,nan,126000000.0,nan,30.400000000000002
Gene Stupnitsky,2,133592588.0,65000000.0,nan,13.100000000000001
Joel Zwick,2,289554530.0,50000000.0,101.0,11.0
Benny Boom,2,54949349.0,48000000.0,84.0,11.600000000000001
Scott Beck,1,32062904.0,45000000.0,40.0,5.4
Bryan Woods,1,32062904.0,45000000.0,40.0,5.4
David R. Ellis,4,179463348.0,144000000.0,186.0,23.3
Mike Flanagan,5,nan,60070000.0,nan,32.4
John A. Davis,2,109078767.0,70000000.0,124.0,11.899999999999999
Peter Howitt,4,69123259.0,113000000.0,179.0,24.8
John Schultz,4,107322358.0,110000000.0,162.0,20.0
Julie Taymor,3,50765234.0,77000000.0,160.0,19.9
Mathieu Kassovitz,2,82227152.0,85000000.0,64.0,11.3
James Whale,2,nan,49000000.0,nan,15.1
John Gray,1,20351264.0,45000000.0,33.0,5.4
Sean Penn,2,38087445.0,65000000.0,144.0,14.899999999999999
Chris Bailey,1,17811382.0,45000000.0,45.0,5.7
Mark Koetsier,1,17811382.0,45000000.0,45.0,5.7
Simon Wincer,5,149516645.0,133000000.0,256.0,28.799999999999997
Billy Bob Thornton,2,39984474.0,49833610.0,139.0,13.8
Danny Pang,2,50672966.0,61000000.0,58.0,10.6
Oxide Chun Pang,2,50672966.0,61000000.0,58.0,10.6
André Øvredal,2,82584255.0,73000000.0,nan,12.3
Pete Travis,2,85681020.0,85000000.0,100.0,13.7
Bruce Robinson,1,13109815.0,45000000.0,56.0,6.1
Dave Wilson,1,12561824.0,45000000.0,44.0,5.7
David L. Cunningham,1,8794452.0,45000000.0,38.0,4.7
Oliver Parker,5,nan,93100000.0,nan,32.5
T. Hee,3,252762501.0,60489247.0,297.0,22.5
George P. Cosmatos,4,258275184.0,139000000.0,nan,25.0
Lawrence Kasanoff,1,nan,45000000.0,nan,1.3
Burr Steers,4,111045213.0,121000000.0,202.0,25.5
Brian Gibson,2,61855681.0,59000000.0,nan,13.0
Evan Goldberg,2,107575377.0,76000000.0,119.0,13.1
Seth Rogen,2,107575377.0,76000000.0,119.0,13.1
Michael Cimino,2,52463659.0,59000000.0,143.0,14.8
Gus Van Sant,10,397481534.0,144500000.0,674.0,71.6
Roger Kumble,3,81122414.0,89000000.0,111.0,15.899999999999999
Fede Alvarez,2,69081194.0,60000000.0,100.0,12.6
John Hamburg,4,219906685.0,121000000.0,nan,25.0
Reginald Hudlin,4,110650898.0,94000000.0,151.0,23.4
Joseph L. Mankiewicz,1,57777778.0,42000000.0,60.0,7.0
Jonathan Levine,7,nan,151750000.0,407.0,44.7
Barbra Streisand,3,156090362.0,84000000.0,nan,20.0
Catherine Hardwicke,8,494101403.0,178000000.0,nan,47.7
Mark Pellington,2,60502547.0,63500000.0,117.0,13.600000000000001
John Glen,5,258887293.0,167500000.0,274.0,32.8
Etan Cohen,2,120985079.0,82000000.0,58.0,9.9
Julie Anne Robinson,2,89364911.0,62000000.0,55.0,11.3
John Herzfeld,2,nan,47000000.0,55.0,11.0
Andrew Niccol,3,74202504.0,113000000.0,179.0,22.0
Annabel Jankel,1,20915465.0,42000000.0,35.0,4.1
Rocky Morton,1,20915465.0,42000000.0,35.0,4.1
Asger Leth,1,18620000.0,42000000.0,40.0,6.6
Sngmoo Lee,1,5666340.0,42000000.0,45.0,6.2
Bryan Spicer,1,4529843.0,42000000.0,18.0,4.5
Dexter Fletcher,2,112157549.0,64000000.0,123.0,14.6
Gordon Chan,1,22219192.0,41000000.0,38.0,5.2
Sean McNamara,4,59643279.0,74500000.0,167.0,25.2
