Director,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
John G. Avildsen,3,299389699.0,49000000.0,190.0,22.7
Sam Taylor-Johnson,2,167624478.0,41900000.0,113.0,11.3
Rian Johnson,4,237456938.0,90450000.0,293.0,29.2
Anne Fletcher,7,nan,210000000.0,333.0,42.7
Bruce Beresford,4,228838404.0,73500000.0,213.0,28.7
Ken Kwapis,5,226468113.0,148000000.0,250.0,31.0
Wes Craven,11,597715122.0,279800000.0,607.0,68.5
Gavin O'Connor,6,182900015.0,148312000.0,359.0,42.0
Nick Cassavetes,4,286285499.0,133500000.0,173.0,28.2
Ric Roman Waugh,5,nan,98850000.0,263.0,31.300000000000004
Michael Chaves,2,120364789.0,49000000.0,94.0,11.5
Masayuki Suô,1,9499091.0,40000000.0,68.0,7.7
Cal Brunker,4,176678938.0,136000000.0,nan,23.4
Mark A.Z. Dippé,1,54870175.0,40000000.0,34.0,5.2
Alejandro Agresti,1,52330111.0,40000000.0,52.0,6.8
Nimród Antal,3,71409531.0,78000000.0,162.0,19.200000000000003
Peter Hedges,3,58086723.0,53300000.0,183.0,20.3
Paul Weiland,1,46012734.0,40000000.0,37.0,5.8
Steve McQueen,4,nan,71500000.0,326.0,nan
Colin Strause,2,63190686.0,50000000.0,55.0,9.1
Greg Strause,2,63190686.0,50000000.0,55.0,9.1
Antonia King,1,nan,40000000.0,nan,6.6
Joan Chen,1,37761915.0,40000000.0,24.0,5.6
Greg Mottola,4,189824622.0,107300000.0,243.0,27.2
Diane Keaton,1,36050230.0,40000000.0,33.0,4.8
Kelly Makin,1,33864342.0,40000000.0,49.0,5.9
Carl Gottlieb,1,33864342.0,40000000.0,49.0,5.9
Susanna Fogel,1,33562069.0,40000000.0,52.0,6.0
Jason Winer,1,33035397.0,40000000.0,36.0,5.7
Christian Duguay,2,35050858.0,80000000.0,47.0,10.100000000000001
Richard Stanley,1,27663982.0,40000000.0,37.0,4.5
Justin Chadwick,3,37593677.0,100000000.0,148.0,20.0
Andrew Jay Cohen,1,25584504.0,40000000.0,30.0,5.6
Pat O'Connor,1,25288103.0,40000000.0,27.0,6.7
Frederik Du Chau,2,72283320.0,70000000.0,93.0,11.4
Irwin Winkler,4,102217001.0,95000000.0,189.0,26.1
Dennis Gansel,1,21218403.0,40000000.0,38.0,5.7
Joseph Kahn,2,nan,50000000.0,86.0,9.7
Brian Henson,2,48087959.0,52000000.0,91.0,13.2
Paul Thomas Anderson,9,170166075.0,237500000.0,759.0,66.69999999999999
Sofia Coppola,5,77949793.0,67000000.0,377.0,34.0
Donovan Marsh,1,15767460.0,40000000.0,43.0,6.6
Stephen Kay,3,61765926.0,64000000.0,nan,14.8
Elaine May,1,14375181.0,40000000.0,52.0,4.6
Mira Nair,7,70098352.0,113700000.0,nan,47.0
Dennie Gordon,3,77264569.0,81000000.0,94.0,16.7
Ulu Grosbard,1,13898649.0,40000000.0,45.0,6.3
Charles Shyer,1,13399812.0,40000000.0,49.0,6.2
William Malone,3,nan,62000000.0,nan,13.4
Christian Alvart,2,23592704.0,67000000.0,53.0,12.9
Jerry Jameson,2,nan,42000000.0,nan,10.5
S.S. Rajamouli,2,26924659.0,70000000.0,nan,16.2
Gary Fleder,5,97295119.0,141500000.0,223.0,33.1
Paul McGuigan,5,73340578.0,138500000.0,214.0,33.0
John Crowley,2,43655364.0,51000000.0,128.0,13.9
Jean-Marie Poiré,1,4781539.0,40000000.0,38.0,5.7
Marc F. Adler,1,694782.0,40000000.0,27.0,4.3
Jason Maurer,1,694782.0,40000000.0,27.0,4.3
Richard Shepard,3,14088078.0,57000000.0,174.0,19.6
Jeff Nathanson,1,464275.0,40000000.0,47.0,5.7
Patrick Tam,1,nan,40000000.0,nan,6.8
Tong Kay Ming Terry,1,nan,40000000.0,nan,6.8
M.J. Bassett,1,nan,40000000.0,48.0,6.1
Amanda Boyle,1,nan,40000000.0,nan,6.4
Mario Van Peebles,3,nan,67300000.0,nan,15.1
Yuefeng Song,1,nan,40000000.0,nan,6.3
Sergio Pablos,1,nan,40000000.0,65.0,8.2
Carlos Martínez López,1,nan,40000000.0,65.0,8.2
Tom McCarthy,5,nan,69500000.0,388.0,36.4
Yuthlert Sippapak,1,nan,40000000.0,nan,4.7
Tiwa Moeithaisong,1,nan,40000000.0,nan,4.7
Jonathan Lynn,4,140657042.0,82000000.0,203.0,26.8
Michael Davis,1,12807139.0,39000000.0,49.0,6.6
Charles S. Dutton,1,5884190.0,39000000.0,36.0,5.3
David Carson,1,75671125.0,38000000.0,55.0,6.6
Greg Berlanti,3,95947607.0,49000000.0,162.0,20.9
Norman Jewison,5,nan,108000000.0,nan,35.0
David Mirkin,1,40336607.0,38000000.0,47.0,6.2
J Blakeson,2,35083767.0,39500000.0,98.0,11.9
Luis Mandoki,3,84127485.0,98000000.0,120.0,18.0
John Pasquin,2,168311003.0,60000000.0,99.0,12.0
Julius Avery,2,41714224.0,56000000.0,105.0,12.7
Andrea Berloff,1,12180032.0,38000000.0,35.0,5.6
Jeb Stuart,2,6602043.0,48000000.0,nan,12.9
Jacques Audiard,2,3404875.0,47000000.0,154.0,14.100000000000001
Steve Miner,4,63211015.0,73250000.0,133.0,23.299999999999997
David Leland,2,nan,46000000.0,nan,10.9
Kirk Jones,5,181987045.0,103500000.0,255.0,32.699999999999996
Gary Winick,4,171870998.0,97150000.0,202.0,24.5
Jennifer Flackett,1,48006762.0,37000000.0,55.0,6.0
Mark Levin,1,48006762.0,37000000.0,55.0,6.0
Christian Ditter,1,46843513.0,37000000.0,51.0,6.1
Kevin Smith,13,nan,161377000.0,664.0,82.7
Chad Ferrin,1,nan,37000000.0,nan,3.8
Bradley Cooper,1,215333122.0,36000000.0,88.0,7.6
Irvin Kershner,1,55432841.0,36000000.0,68.0,6.1
Steve Pink,3,111239891.0,63000000.0,154.0,17.4
Scott Hicks,5,178060821.0,125500000.0,275.0,33.900000000000006
Werner Herzog,3,nan,71000000.0,185.0,19.6
Chris Rock,3,75993323.0,61200000.0,174.0,17.4
Matt Bettinelli-Olpin,3,152697081.0,48000000.0,159.0,17.6
Tyler Gillett,3,152697081.0,48000000.0,159.0,17.6
Kevin Rodney Sullivan,3,171700106.0,73000000.0,164.0,17.3
Kevin Munroe,2,55335636.0,55000000.0,72.0,11.3
Michael Tollin,2,72087291.0,52000000.0,59.0,12.0
Stefano Sollima,1,50072235.0,35000000.0,61.0,7.1
Tobe Hooper,5,178868682.0,87400000.0,306.0,31.799999999999997
Ari Sandel,3,nan,53000000.0,145.0,18.4
Nicolai Fuglsig,1,45819713.0,35000000.0,54.0,6.5
Gary David Goldberg,1,43894863.0,35000000.0,46.0,5.9
Luke Greenfield,4,193769769.0,99000000.0,156.0,23.700000000000003
Alan Poul,1,37490007.0,35000000.0,34.0,5.3
Don Roos,1,36805288.0,35000000.0,52.0,5.8
Peter Landesman,2,35196125.0,45000000.0,106.0,13.5
Steven E. de Souza,1,33423521.0,35000000.0,34.0,4.0
Gil Junger,2,71605137.0,48000000.0,102.0,12.2
Michael Ritchie,3,120374323.0,75000000.0,nan,18.5
Alexandre Aja,5,140168716.0,95850000.0,242.0,30.8
Anna Foerster,1,30353973.0,35000000.0,23.0,5.7
Michael Rymer,2,44348254.0,42000000.0,83.0,11.4
Mike Hodges,1,27107960.0,35000000.0,58.0,6.5
Craig Mazin,1,25881068.0,35000000.0,33.0,4.6
Hugh Wilson,4,223173621.0,91500000.0,191.0,23.7
Sharon Maguire,2,95795847.0,60000000.0,125.0,13.3
David Mamet,4,58961526.0,60900000.0,271.0,26.9
Tommy O'Haver,2,34494851.0,45000000.0,105.0,12.0
Aleksander Bach,1,22467450.0,35000000.0,28.0,5.7
Chris Carter,1,20982478.0,35000000.0,47.0,5.9
Gary Chapman,1,19478106.0,35000000.0,45.0,5.5
Kimble Rendall,1,nan,35000000.0,nan,5.2
Jeffrey Schwarz,1,nan,35000000.0,nan,6.9
Peter Hewitt,3,72646430.0,84000000.0,nan,16.6
Jean-Marc Vallée,3,76179913.0,55000000.0,215.0,22.200000000000003
Hark Tsui,1,10319915.0,35000000.0,37.0,4.8
Ken Scott,2,40883607.0,57000000.0,76.0,11.7
Ari Aster,3,79672379.0,54000000.0,222.0,21.2
Lexi Alexander,1,8050977.0,35000000.0,30.0,5.9
Tomas Alfredson,2,30849428.0,56000000.0,108.0,12.1
Ronny Yu,4,126762733.0,112000000.0,nan,22.299999999999997
David Mickey Evans,1,4651977.0,35000000.0,nan,6.9
Bille August,2,nan,65000000.0,nan,13.399999999999999
Moustapha Akkad,1,nan,35000000.0,nan,8.2
Jane Campion,4,nan,62500000.0,306.0,26.6
Aaron Sorkin,2,nan,65000000.0,147.0,15.100000000000001
Mark Gustafson,1,nan,35000000.0,79.0,7.6
Louis Malle,2,nan,35475000.0,nan,14.9
Tony Kaye,3,nan,51000000.0,nan,23.299999999999997
Chris Gorak,1,21443494.0,34800000.0,18.0,4.9
George Tillman Jr.,5,182925396.0,120500000.0,282.0,35.1
Hugh Johnson,1,11263966.0,34000000.0,33.0,5.2
Rand Ravich,1,10672566.0,34000000.0,37.0,5.4
Hugh Hudson,2,65624426.0,39500000.0,111.0,12.6
Jérémie Degruson,1,4091.0,34000000.0,47.0,6.2
Ben Stassen,1,4091.0,34000000.0,47.0,6.2
Mimi Maynard,1,4091.0,34000000.0,47.0,6.2
Jake Szymanski,1,46009673.0,33000000.0,51.0,6.0
Scott Speer,2,44635741.0,35800000.0,81.0,13.0
Brian Kirk,1,28539757.0,33000000.0,51.0,6.6
Derrick Borte,2,22307211.0,43000000.0,95.0,12.4
Boaz Yakin,3,175518086.0,83000000.0,150.0,20.9
Neil Marshall,4,nan,60800000.0,225.0,24.0
Michael Winterbottom,6,nan,107500000.0,336.0,36.4
Robbie Pickering,1,70958.0,33000000.0,nan,5.9
Stephen Daldry,4,97883148.0,74500000.0,262.0,29.9
Justin Zackham,1,21819348.0,32500000.0,28.0,5.6
David Wain,4,nan,68750000.0,224.0,22.9
Jared Hess,4,142220653.0,66900000.0,191.0,24.799999999999997
John Luessenhop,1,57744720.0,32000000.0,45.0,6.2
Rupert Wainwright,1,50046268.0,32000000.0,28.0,6.2
Abby Kohn,1,48795601.0,32000000.0,48.0,5.6
Marc Silverstein,1,48795601.0,32000000.0,48.0,5.6
Don Scardino,1,22537881.0,32000000.0,44.0,5.9
Drew Goddard,2,59912392.0,62000000.0,132.0,14.1
Nanette Burstein,2,18746740.0,37000000.0,117.0,12.7
Miguel Sapochnik,1,13794835.0,32000000.0,32.0,6.3
Hyung-rae Shim,2,11141968.0,45400000.0,nan,7.0
Tim Robbins,2,42267039.0,43000000.0,144.0,14.3
Tom Reeve,1,nan,32000000.0,nan,5.6
Ariel Vromen,2,16677889.0,41500000.0,96.0,13.1
Lewis Gilbert,3,160231559.0,54500000.0,182.0,20.0
Tom Vaughan,1,12068313.0,31000000.0,45.0,6.4
J.B. Rogers,2,150623988.0,55000000.0,64.0,11.4
Michael Sucsy,2,131116106.0,34900000.0,95.0,13.2
Steve Oedekerk,3,168903534.0,65000000.0,nan,19.3
Jason Moore,2,152342738.0,47000000.0,124.0,13.1
Kunihiko Yuyama,2,102796790.0,33000000.0,nan,12.0
Connor White,1,nan,30000000.0,nan,nan
Stig Bergqvist,1,76507756.0,30000000.0,62.0,6.1
Paul Demeyer,1,76507756.0,30000000.0,62.0,6.1
Peter Lepeniotis,1,64251541.0,30000000.0,37.0,5.7
Chris Noonan,2,66664515.0,60000000.0,140.0,13.9
Eddie Murphy,1,60864870.0,30000000.0,16.0,6.1
Michael McCullers,1,60494212.0,30000000.0,55.0,6.0
Forest Whitaker,2,69109116.0,60000000.0,73.0,11.1
Woody Allen,24,nan,358500000.0,nan,166.49999999999997
Steve Box,1,56110897.0,30000000.0,87.0,7.5
Mike Johnson,1,53401527.0,30000000.0,83.0,7.4
Ben Falcone,3,200871228.0,79000000.0,125.0,15.9
Ted Demme,1,52990775.0,30000000.0,52.0,7.5
William Shatner,1,52210049.0,30000000.0,43.0,5.5
Christian Gudegast,1,44947622.0,30000000.0,49.0,7.0
Richard Dipirro,1,nan,30000000.0,nan,7.5
James Gartner,1,42647449.0,30000000.0,58.0,7.2
Lee Toland Krieger,1,42629776.0,30000000.0,51.0,7.2
Tim McCanlies,3,42794875.0,42300000.0,nan,20.6
Mark Mylod,2,52512209.0,50000000.0,106.0,13.2
Phil Joanou,2,nan,34000000.0,nan,11.7
Jason Friedberg,5,177373874.0,110000000.0,70.0,13.3
Aaron Seltzer,5,177373874.0,110000000.0,70.0,13.3
Paul Michael Glaser,1,38122105.0,30000000.0,45.0,6.7
John R. Leonetti,3,134513163.0,48500000.0,80.0,14.1
Tom Hanks,2,61465661.0,32500000.0,112.0,13.1
Liz Friedlander,1,34742066.0,30000000.0,55.0,6.6
Shane Acker,1,31749894.0,30000000.0,60.0,7.0
Catherine Cyran,1,nan,30000000.0,nan,4.4
Stephen J. Anderson,1,26692846.0,30000000.0,74.0,7.1
Yann Demange,1,24011188.0,30000000.0,59.0,6.5
Brett Leonard,2,56148491.0,40000000.0,81.0,10.9
Alister Grierson,1,23209310.0,30000000.0,42.0,5.9
Chung-Hyun Lee,1,nan,30000000.0,nan,6.2
Charles Stone III,4,nan,78000000.0,nan,22.8
Paul Haggis,4,137086992.0,70303082.0,249.0,29.9
Baran bo Odar,1,20783704.0,30000000.0,34.0,5.6
Nick Hurran,1,20698668.0,30000000.0,36.0,5.3
Kelly Fremon Craig,2,34804039.0,39000000.0,161.0,14.7
Tom Gormican,2,46369112.0,38000000.0,104.0,13.1
Jean-François Richet,1,20040895.0,30000000.0,54.0,6.3
Kurt Wimmer,2,19739606.0,50000000.0,51.0,11.6
Niki Caro,4,101171458.0,71300000.0,265.0,29.200000000000003
Elaine Bogan,1,17716215.0,30000000.0,49.0,5.5
Ennio Torresan,1,17716215.0,30000000.0,49.0,5.5
Ellory Elkayem,1,17322606.0,30000000.0,53.0,5.5
Kevin Hooks,1,17193231.0,30000000.0,nan,5.4
Vincenzo Natali,3,nan,34250000.0,nan,19.0
Willard Huyck,1,16295774.0,30000000.0,28.0,4.7
Bruce Hunt,1,15007991.0,30000000.0,30.0,5.1
Frank M. Calo,1,14379751.0,30000000.0,24.0,4.8
Nick Hamm,3,nan,38000000.0,nan,17.7
Mark Williams,2,23754668.0,59000000.0,73.0,10.8
Lajos Koltai,2,12689338.0,42000000.0,132.0,13.4
Jee-woon Kim,2,12592018.0,38600000.0,132.0,13.399999999999999
Chris Roberts,1,11578059.0,30000000.0,21.0,4.3
Niels Arden Oplev,1,10895295.0,30000000.0,39.0,6.4
Richard J. Lewis,1,4439201.0,30000000.0,67.0,7.3
Alfonso Gomez-Rejon,2,12737956.0,38000000.0,129.0,14.2
Jonathan Baker,1,5718096.0,30000000.0,35.0,5.8
Josh Baker,1,5718096.0,30000000.0,35.0,5.8
Sergio Leone,2,10643016.0,35000000.0,157.0,16.8
David Kerr,1,4412170.0,30000000.0,39.0,6.2
John Cassavetes,1,4059673.0,30000000.0,68.0,7.1
Jeffrey Nachmanoff,3,31623689.0,56000000.0,99.0,17.700000000000003
Andrew Dominik,2,18935205.0,45000000.0,132.0,13.7
Michael Radford,3,5251682.0,67000000.0,169.0,20.2
Steve Boyum,2,7458766.0,54000000.0,nan,8.3
Michael Matthews,1,1070714.0,30000000.0,63.0,6.9
Kaige Chen,1,669625.0,30000000.0,53.0,5.6
Khurram H. Alavi,1,490973.0,30000000.0,52.0,7.6
Ayman Jamal,1,490973.0,30000000.0,52.0,7.6
Corey Yuen,2,25777260.0,51000000.0,89.0,11.6
Shin'ichirô Sawai,1,3892.0,30000000.0,nan,6.2
Frédéric Auburtin,2,4899885.0,43000000.0,67.0,9.3
Reinhard Klooss,1,nan,30000000.0,nan,nan
Gabriele Salvatores,1,nan,30000000.0,nan,6.6
Olivier Dahan,1,nan,30000000.0,21.0,5.7
Antonio Negret,1,7793.0,30000000.0,nan,5.4
Liliana Cavani,1,nan,30000000.0,nan,6.6
Eran Creevy,1,2280004.0,29200000.0,33.0,5.7
Elizabeth Banks,2,193136683.0,39000000.0,81.0,10.7
Edward Norton,2,46325616.0,55000000.0,120.0,13.2
Miguel Arteta,6,126340018.0,93250000.0,367.0,36.6
Don Mancini,1,17083732.0,29000000.0,46.0,4.9
Richard Attenborough,4,135260063.0,99000000.0,nan,30.1
John Maybury,1,6303762.0,28500000.0,44.0,7.1
Igor Kovalyov,1,100494675.0,28000000.0,62.0,5.9
Norton Virgien,2,139897247.0,53000000.0,100.0,11.5
Jon Lucas,3,191914115.0,53000000.0,141.0,17.8
Scott Moore,3,191914115.0,53000000.0,141.0,17.8
Jeff Tomsic,1,54730625.0,28000000.0,56.0,6.5
Kenny Ortega,4,nan,50200000.0,nan,22.5
Kyle Marvin,1,39330588.0,28000000.0,52.0,5.8
Jeff Wadlow,5,132414885.0,60500000.0,176.0,28.9
Scott Frank,1,26307600.0,28000000.0,57.0,6.5
Camille Delamarre,2,36426499.0,50000000.0,72.0,10.8
Janusz Kaminski,1,16815253.0,28000000.0,16.0,4.8
Nima Nourizadeh,2,69172850.0,40000000.0,98.0,12.8
Michel Debats,1,11689053.0,28000000.0,82.0,7.9
Robert B. Weide,1,2778752.0,28000000.0,35.0,6.4
Ruben Colin Gama,1,nan,28000000.0,nan,nan
Todd Graff,2,36143101.0,47500000.0,110.0,12.0
David Lean,5,nan,76500000.0,nan,38.1
Richard Eyre,2,23104735.0,33000000.0,149.0,14.4
Nicholas Meyer,2,154596902.0,39000000.0,133.0,14.9
Gary Dauberman,1,74152591.0,27000000.0,53.0,5.9
Sanaa Hamri,2,65630327.0,39000000.0,114.0,12.100000000000001
Jodie Foster,3,59502060.0,68000000.0,171.0,19.6
Wilhelm Bittorf,1,nan,27000000.0,nan,8.9
Ulli Pfau,1,nan,27000000.0,nan,8.9
Saul Dibb,1,13848978.0,27000000.0,62.0,6.9
Walter Murch,1,11137801.0,27000000.0,42.0,6.7
Richard Linklater,11,161655387.0,116423000.0,871.0,80.39999999999999
E. Elias Merhige,2,17019597.0,35000000.0,108.0,12.7
Menno Meyjes,1,7500310.0,27000000.0,48.0,6.7
Noah Hawley,1,319976.0,27000000.0,36.0,4.9
Ingmar Bergman,2,nan,47000000.0,nan,13.8
John Hillcoat,4,60059858.0,91000000.0,247.0,28.0
Michael Hoffman,4,51508772.0,74500000.0,220.0,27.1
Kevin Allen,2,23817311.0,30000000.0,85.0,10.7
Michael Cristofer,1,16534221.0,26000000.0,33.0,6.0
Andrew Morahan,1,12303080.0,26000000.0,28.0,4.4
Shaka King,1,5478009.0,26000000.0,85.0,7.4
Bob Rafelson,2,13471293.0,38000000.0,nan,12.6
Guillaume Canet,1,42472.0,26000000.0,45.0,6.5
Konstantin Ershov,1,nan,26000000.0,nan,7.2
Georgiy Kropachyov,1,nan,26000000.0,nan,7.2
Aleksandr Ptushko,1,nan,26000000.0,nan,7.2
Alan Shapiro,1,20080020.0,25530000.0,43.0,5.3
Fernando Meirelles,2,36931548.0,50500000.0,127.0,13.9
Theodore Melfi,2,213744999.0,38000000.0,138.0,15.0
Charles Herman-Wurmfeld,3,97655641.0,27350000.0,176.0,18.5
Gabor Csupo,1,82272442.0,25000000.0,74.0,7.2
Michael Pressman,1,78656813.0,25000000.0,45.0,6.0
Daniel Kwan,2,81402239.0,28000000.0,145.0,14.7
Daniel Scheinert,2,81402239.0,28000000.0,145.0,14.7
Kevin Jarre,1,56505065.0,25000000.0,50.0,7.8
Tyler Perry,10,nan,187500000.0,461.0,52.199999999999996
John Polson,2,79665481.0,35000000.0,64.0,11.0
Fred Wolf,2,54812671.0,45000000.0,67.0,10.7
Bernardo Bertolucci,1,43984230.0,25000000.0,76.0,7.7
Penelope Spheeris,2,165726709.0,45000000.0,94.0,12.0
John Eng,1,39402572.0,25000000.0,38.0,5.6
Priit Pärn,1,39402572.0,25000000.0,38.0,5.6
John Wells,3,55832028.0,60000000.0,169.0,20.5
Chris Nahon,1,36845124.0,25000000.0,58.0,6.6
Bille Woodruff,4,93720058.0,53000000.0,163.0,20.799999999999997
Victor Salva,3,77531807.0,45000000.0,125.0,19.0
Mark Helfrich,1,35017297.0,25000000.0,19.0,5.6
Steve Bendelack,1,33302167.0,25000000.0,56.0,6.4
Richie Keen,1,32187017.0,25000000.0,37.0,5.6
Kirsten Sheridan,1,31664162.0,25000000.0,38.0,7.4
Dwight H. Little,2,50007680.0,30000000.0,74.0,10.5
Richard Fleischer,5,nan,66100000.0,300.0,32.9
Kinji Fukasaku,1,nan,25000000.0,46.0,7.5
Toshio Masuda,1,nan,25000000.0,46.0,7.5
Bob Spiers,1,29342592.0,25000000.0,32.0,3.6
F. Javier Gutiérrez,1,27793018.0,25000000.0,25.0,4.5
Damien Dante Wayans,1,25662155.0,25000000.0,40.0,3.6
Tim Fywell,1,24402491.0,25000000.0,55.0,6.0
Troy Nixey,1,24046682.0,25000000.0,56.0,5.5
Sylvain White,3,115517137.0,49000000.0,118.0,14.8
Dito Montiel,2,23121690.0,40000000.0,97.0,10.7
Philip G. Atwell,1,22486409.0,25000000.0,36.0,6.2
Jeremy Leven,1,22150451.0,25000000.0,63.0,6.7
Nigel Cole,4,66161449.0,47000000.0,235.0,27.5
Dax Shepard,1,18600152.0,25000000.0,28.0,6.0
Jeff Schaffer,1,17771387.0,25000000.0,45.0,6.6
Alec Berg,1,17771387.0,25000000.0,45.0,6.6
David Mandel,1,17771387.0,25000000.0,45.0,6.6
Lawrence Sher,1,17501244.0,25000000.0,22.0,5.5
Carter Smith,1,17432844.0,25000000.0,44.0,5.9
Johannes Roberts,5,111155753.0,52300000.0,228.0,26.3
Josie Rourke,1,16468499.0,25000000.0,60.0,6.3
James Bridges,1,16118077.0,25000000.0,51.0,5.7
Don Michael Paul,2,21281285.0,32000000.0,41.0,6.8
Steve Barron,1,15094530.0,25000000.0,nan,5.2
Bill Paxton,2,28447841.0,36000000.0,119.0,14.600000000000001
Richard Kelly,3,16805850.0,46500000.0,179.0,18.9
John Schlesinger,3,86653224.0,48600000.0,129.0,18.7
Mike Relon Makiling,1,nan,25000000.0,nan,6.4
Ringo Lam,1,14502483.0,25000000.0,nan,5.5
Bruce McCulloch,2,44672884.0,39000000.0,67.0,10.3
Jonathan Dayton,2,72529624.0,33000000.0,153.0,14.5
Valerie Faris,2,72529624.0,33000000.0,153.0,14.5
Patricia Riggen,2,73932845.0,38000000.0,99.0,14.0
Kimberly Peirce,2,22456351.0,27000000.0,147.0,13.9
Sam Peckinpah,4,nan,38516946.0,nan,29.2
Jonathan Kaplan,1,10115013.0,25000000.0,44.0,6.4
Andrzej Zulawski,1,1158473.0,25000000.0,75.0,7.3
Richard Benjamin,3,25584823.0,61000000.0,102.0,14.5
Craig R. Baxley,2,29408862.0,32000000.0,78.0,11.6
Felix van Groeningen,1,7649973.0,25000000.0,62.0,7.4
Denzel Washington,4,115542630.0,76500000.0,248.0,27.900000000000002
John Guillermin,3,126489573.0,49000000.0,140.0,15.8
Marcos Siega,1,5655459.0,25000000.0,19.0,4.4
Marcel Langenegger,1,4598506.0,25000000.0,31.0,6.0
Rachel Talalay,2,38936528.0,30000000.0,85.0,10.100000000000001
Jeffrey W. Byrd,1,4008527.0,25000000.0,11.0,4.4
Richard Lanni,1,4015935.0,25000000.0,58.0,6.9
Marc Meyers,1,913935.0,25000000.0,39.0,6.3
Atom Egoyan,7,14106516.0,79000000.0,456.0,46.8
Robert Towne,1,777423.0,25000000.0,71.0,7.2
Farhad Safinia,1,nan,25000000.0,27.0,7.2
Jonathan English,1,nan,25000000.0,42.0,6.1
Sergey Bondarchuk,1,nan,25000000.0,nan,7.3
Jonathan Newman,1,6399.0,25000000.0,39.0,5.4
Eugene Jarecki,1,nan,25000000.0,nan,7.4
Michael Helman,1,nan,25000000.0,nan,6.8
Leonard Nimoy,2,186184178.0,42000000.0,127.0,13.899999999999999
Olivia Newman,1,90230760.0,24000000.0,43.0,7.2
Herbert Ross,2,160070804.0,32200000.0,84.0,13.2
Zach Braff,3,75392156.0,32500000.0,160.0,20.6
Xavier Gens,2,nan,27000000.0,63.0,12.0
Gene Kelly,2,2285418.0,26540000.0,150.0,15.3
Bonnie Hunt,1,32722798.0,24000000.0,54.0,6.9
Grant Heslov,1,32428195.0,24000000.0,54.0,6.2
George Gallo,3,32840884.0,47000000.0,136.0,18.7
Neil LaBute,3,67238033.0,44025000.0,197.0,19.6
John Flynn,1,22099847.0,24000000.0,52.0,6.4
Sidney Lumet,7,nan,72140000.0,nan,50.900000000000006
Douglas McGrath,5,34778638.0,64900000.0,261.0,30.800000000000004
Vijay Krishna Acharya,1,8031955.0,24000000.0,61.0,5.4
Kevin Spacey,2,6658088.0,29000000.0,94.0,12.8
Richard Williams,1,669276.0,24000000.0,nan,7.1
Mary McGuckian,1,49981.0,24000000.0,25.0,5.0
Tony Mitchell,1,nan,24000000.0,nan,4.8
Siva,1,nan,24000000.0,nan,4.0
John N. Smith,1,84919401.0,23000000.0,47.0,6.5
Jeremy Garelick,1,64460211.0,23000000.0,35.0,6.6
Tony Goldwyn,3,38876856.0,49500000.0,163.0,19.8
Kat Coiro,1,22438180.0,23000000.0,51.0,6.1
Michael Dinner,1,13023075.0,23000000.0,37.0,5.6
Jerry Zaks,1,12803305.0,23000000.0,68.0,6.7
Andy Cadiff,1,12195626.0,23000000.0,46.0,6.1
Fred Durst,1,11537046.0,23000000.0,52.0,5.6
Steven Knight,2,1412664.0,25000000.0,126.0,13.3
Greg McLean,4,37119026.0,33100000.0,nan,23.0
Mel Brooks,6,342891119.0,46900000.0,379.0,42.9
Tom Ford,2,19839357.0,29500000.0,144.0,15.0
Russell Crowe,1,4196641.0,22500000.0,50.0,7.0
Maïwenn,2,nan,31300000.0,125.0,14.0
Corin Hardy,1,117481222.0,22000000.0,46.0,5.3
Christopher Spencer,1,59700064.0,22000000.0,37.0,5.7
Jessie Nelson,2,66614583.0,40000000.0,59.0,13.399999999999999
Mike Bigelow,1,22400154.0,22000000.0,23.0,4.7
Callie Khouri,1,20668843.0,22000000.0,41.0,5.9
Daniel Sackheim,1,18150259.0,22000000.0,34.0,5.8
Harry Elfont,2,39876030.0,32000000.0,99.0,12.1
Deborah Kaplan,2,39876030.0,32000000.0,99.0,12.1
Uli Edel,1,13572400.0,22000000.0,45.0,5.7
Dan Gilroy,3,nan,51500000.0,195.0,20.0
Fred Dekker,1,10696210.0,22000000.0,40.0,4.1
Blake Edwards,2,nan,27000000.0,nan,13.1
Laurence Dunmore,1,4835065.0,22000000.0,44.0,6.2
Rolf Laimböck,1,nan,22000000.0,nan,7.7
Peter Wingender,1,nan,22000000.0,nan,7.7
Rowan Joffe,2,3472110.0,33000000.0,98.0,12.0
John Curran,2,9870565.0,41400000.0,127.0,12.8
Haley Webb,1,nan,22000000.0,nan,nan
Laurent Tirard,1,635733.0,21600000.0,59.0,7.1
Kay Cannon,1,60311495.0,21000000.0,69.0,6.2
Mary Lambert,3,120218969.0,47500000.0,90.0,17.6
Trey Parker,3,85425979.0,42000000.0,185.0,21.0
Stuart Gillard,1,42273609.0,21000000.0,40.0,4.8
Chris Addison,1,35417038.0,21000000.0,35.0,5.4
Luis Prieto,1,30971040.0,21000000.0,44.0,5.9
Gary Sinyor,2,21832722.0,26700000.0,nan,11.2
Katt Shea,2,18385793.0,38000000.0,97.0,10.5
Robert Mandel,2,38366420.0,31000000.0,113.0,11.5
Joshua Michael Stern,2,32421277.0,39000000.0,91.0,12.1
George Mendeluk,1,557241.0,21000000.0,34.0,5.9
John Duigan,1,17650.0,21000000.0,21.0,5.7
Jon Wright,2,nan,26300000.0,109.0,10.899999999999999
