Actor,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating,Average_Box_Office,Average_IMDB_Rating,Success_Metric
Carla Gugino,9,674501879.0,555000000,381.0,55.9,74944653.22222222,6.211111111111111,7.7100041755555555
Josh Lucas,9,nan,323500000,nan,57.3,nan,6.366666666666666,nan
Jessica Biel,13,nan,448640000,459.0,76.4,nan,5.876923076923077,nan
Edward Norton,20,792309815.0,823900000,1204.0,140.1,39615490.75,7.005,7.797309815
Liv Tyler,6,239011999.0,187000000,326.0,39.1,39835333.166666664,6.516666666666667,7.31337333
Tim Roth,10,nan,390500000,nan,59.10000000000001,nan,5.910000000000001,nan
Sam Elliott,6,579448132.0,386000000,290.0,37.9,96574688.66666667,6.316666666666666,8.24816044
Taylor Lautner,5,1200047029.0,416700000,224.0,25.4,240009405.8,5.08,9.880188116
Will Poulter,3,nan,179000000,165.0,20.8,nan,6.933333333333334,nan
Sophie Marceau,2,202553629.0,207000000,125.0,14.700000000000001,101276814.5,7.3500000000000005,9.37553629
Robert Carlyle,7,nan,241500000,nan,45.800000000000004,nan,6.542857142857144,nan
Timothy Olyphant,8,435916873.0,389000000,421.0,52.5,54489609.125,6.5625,7.6522921825
Paul Bettany,9,308071070.0,451500000,461.0,56.8,34230118.88888889,6.311111111111111,6.995713488888889
Billy Boyd,1,93927920.0,135000000,81.0,7.5,93927920.0,7.5,9.3785584
Paul Giamatti,14,nan,476500000,814.0,91.1,nan,6.507142857142857,nan
Maya Rudolph,7,398152511.0,300900000,378.0,43.7,56878930.14285714,6.242857142857143,7.380435745714285
Tyler Perry,12,nan,348000000,535.0,63.00000000000001,nan,5.250000000000001,nan
Elijah Wood,12,1544303722.0,733380000,nan,81.6,128691976.83333333,6.8,9.373839536666667
Pink,1,64006466.0,135000000,50.0,5.8,64006466.0,5.8,7.080129319999999
Gong Li,2,91121456.0,185000000,101.0,12.1,45560728.0,6.05,6.96121456
Jaboukie Young-White,1,37968963.0,135000000,65.0,5.7,37968963.0,5.7,6.45937926
Gabrielle Union,9,442376277.0,415000000,435.0,50.5,49152919.666666664,5.611111111111111,6.594169504444444
Mackenzie Foy,2,56198003.0,210400000,109.0,13.3,28099001.5,6.65,7.21198003
Dakota Fanning,9,nan,358000000,nan,62.2,nan,6.911111111111111,nan
Tim Robbins,14,720559347.0,482000000,nan,95.4,51468524.78571428,6.814285714285715,7.843656210000001
Tom McGrath,1,83850911.0,132000000,53.0,6.6,83850911.0,6.6,8.277018219999999
Chris Miller,1,83850911.0,132000000,53.0,6.6,83850911.0,6.6,8.277018219999999
Christopher Knights,1,83850911.0,132000000,53.0,6.6,83850911.0,6.6,8.277018219999999
Joan Allen,9,611056491.0,445700000,598.0,63.89999999999999,67895165.66666667,7.099999999999999,8.457903313333333
Michael Peña,12,nan,435300000,613.0,75.2,nan,6.266666666666667,nan
Corey Stoll,1,180202163.0,130000000,64.0,7.3,180202163.0,7.3,10.90404326
Jim Parsons,3,532192530.0,142500000,165.0,19.5,177397510.0,6.5,10.047950199999999
Rihanna,3,532192530.0,142500000,165.0,19.5,177397510.0,6.5,10.047950199999999
Steve Martin,18,1343411222.0,804000000,914.0,110.69999999999999,74633956.77777778,6.1499999999999995,7.6426791355555554
Lin-Manuel Miranda,1,171958438.0,130000000,66.0,6.7,171958438.0,6.7,10.13916876
